wd_id,line_id,linewd,dipl,word,phon,phon_map,syllabified,etym_map,origin,wd_div,lang,textlineid,syntag,syntag2,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_left,tei_right
95,15,5,suon,suon,Suɔn,s.u.o.n,S/uɔ\n,,,_,fro,15,Adj,Adj,sien,DMF,sien,ADJpos,ADJpos,3smr,"Eulalie, l. 15",,
5,2,1,Bel,bel,bɛl,b.e.l,b/ɛ\l,b-.ɛ'].-ll-_o[,native,_,fro,2,Adj,Adj,beau,DMF,beau,ADJqua,ADJqua,smr,"Eulalie, l. 2",<l n=&quot;2&quot;>,
8,2,4,bellezour,bellezour,bElEʣour,b.e.ll.e.z.o.u.r,b/E\.l/E\.'ʣ/o\ur,b-.e].-ll-.a[.-tj-.o'[..-r-_e[,native,_,fro,2,Adj,Adj,beau,DMF,beau,ADJqua,ADJqua,sfr,"Eulalie, l. 2",,
1,1,1,B_uona,buona,buɔnə,b.u.o.n.a,'b/uɔ\.n/(ə)\,b-.ɔ'[..-n-.a[,native,_,fro,1,Adj,Adj,bon,DMF,bon,ADJqua,ADJqua,sfn,"Eulalie, l. 1",<text><body xml:lang=&quot;fro&quot;><pb n=&quot;141v&quot;/><lb/><lg type=&quot;couplet&quot;><l n=&quot;1&quot;>,
90,14,6,[christ]iien,christiien,kriStiiEn,ch.r.i.s.t.i.i.e.n,kr/i\S.t/i\.'/iE\n,,loan,.|,fro,14,Adj,Adj,chrétien,DMF,chrétien,ADJqua,ADJqua,smr,"Eulalie, l. 14",,</l></lg>
112,18,7,grand,grand,grANT,g.r.a.n.d,gr/A\NT,g-.r-.a'].-n.d-_E[,native,_,fro,18,Adj,Adj,grand,DMF,grand,ADJqua,ADJqua,sfr,"Eulalie, l. 18",,
26,5,6,mals,mals,maLS,m.a.l.s,m/a\LS,m-.a'[.-l-_o[.-s-,native,_,fro,5,Adj,Adj,mal,DMF,mal,ADJqua,ADJqua,pmr,"Eulalie, l. 5",,
77,12,8,pagiens,pagiens,pAɣiENS,p.a.g.i.e.n.s,p/A\.'ɣ/iE\NS,p-.a[.-g-.a'[..-n-_o[.-s-,native,|,fro,12,Adj,Adj,paien,DMF,paien,ADJqua,NOMcom,pmr,"Eulalie, l. 12",,</l></lg>
140,21,9,pagiens,pagiens,pAɣiENS,p.a.g.i.e.n.s,p/A\.'ɣ/iE\NS,p-.a[.-g-.a'[..-n-_o[.-s-,native,.,fro,21,Adj,Adj,paien,DMF,paien,ADJqua,ADJqua,smn,"Eulalie, l. 21",,</l>
46,8,3,regiel,regiel,rEɣiEl,r.e.g.i.e.l,r/E\.'ɣ/iE\l,r-.e[.-g-.a'[..-l-_e[,native,_,fro,8,Adj,Adj,royal,DMF,royal,ADJqua,ADJqua,sfr,"Eulalie, l. 8",,
114,19,1,E_nz,enz,ENTS,e.n.z.,/E\NTS,e'].-n.t-_o[.-s-,native,_,fro,19,PrA,PrA,ens,DMF,ens,ADVgen,ADVgen,,"Eulalie, l. 19",<lb/><lg type=&quot;couplet&quot;><l n=&quot;19&quot;>,
97,16,1,Melz,melz,meLÇ,m.e.l.z,m/e\LÇ,m-.ɛ'[.-lj-_o[.-s-,native,_,fro,16,Adv,Adv,mieulx,DMF,mieulx,ADVgen,ADVgen,,"Eulalie, l. 16",<l n=&quot;16&quot;>,
83,13,6,nonq[ue],nonque,nONkə,n.o.n.qu.e,'n/O\N.k/(ə)\,n-.o'].-n.kw-.a[,native,_,fro,13,Adv,Adv,nonques,DMF,nonques,ADVgen,ADVgen,,"Eulalie, l. 13",,
54,9,6,omq[ue],omque,ONkə,o.m.qu.e,'/O\N.k/(ə)\,o'].-n.kw-.a[,native,_,fro,9,Adv,Adv,onques,DMF,onques,ADVgen,ADVgen,,"Eulalie, l. 9",,
58,10,3,sempre,sempre,SENprə,s.e.m.p.r.e,'S/E\N.pr/(ə)\,s-.ɛ'].-m.p-_e[.-r-.0,native,_,fro,10,Adv,Adv,sempres,DMF,sempres,ADVgen,ADVgen,,"Eulalie, l. 10",,
159,24,5,si,si,Si,s.i,S/i\,s-.i']_-k-,native,_,fro,24,Adv,Adv,si4,DMF,si4,ADVgen,ADVgen,,"Eulalie, l. 24",,
34,6,7,sus,sus,SyS,s.u.s,S/y\S,s-.u'[.-s-_o[,native,_,fro,6,PrA,PrA,sus,DMF,sus,ADVgen,ADVgen,,"Eulalie, l. 6",,
122,19,9,tost,tost,tɔST,t.o.s.t,t/ɔ\ST,t-.ɔ'].-s.t-_o[,native,.,fro,19,Adv,Adv,tôt,DMF,tôt,ADVgen,ADVgen,,"Eulalie, l. 19",,</l>
22,5,2,no,no,no,n.o,n/o\,,,+,fro,5,Neg,Neg$$,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 5",,
51,9,3,non,non,nOn,n.o.n,n/O\n,,,_,fro,9,Neg,Neg$$,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 9",,
59,10,4,no[n],non,nOn,n.o.n,n/O\n,,,_,fro,10,Neg,Neg$$,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 10",,
125,20,3,no[n],non,nOn,n.o.n,n/O\n,,,_,fro,20,Neg,Neg$$,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 20",,
129,20,7,no,no,no,n.o,n/o\,,,+,fro,20,Neg,Neg$$,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 20",,
134,21,3,no,no,no,n.o,n/o\,,,+,fro,21,Neg,Neg$$,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 21",,
153,23,5,no[n],non,nOn,n.o.n,n/O\n,,,_,fro,23,Neg,Neg$$,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 23",,
64,11,1,E,e,E,e,/E\,,,_,fro,11,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,"Eulalie, l. 11",<lb/><lg type=&quot;couplet&quot;><l n=&quot;11&quot;>,
185,28,4,[et],et,eð,e.t,/e\ð,,,_,fro,28,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,"Eulalie, l. 28",,
37,7,1,N_e,ne,nE,n.e,n/E\,,,_,fro,7,Crd,Crd,ne2,DMF,ne2,CONcoo,CONcoo,,"Eulalie, l. 7",<lb/><lg type=&quot;couplet&quot;><l n=&quot;7&quot;>,
40,7,4,ned,ned,nEð,n.e.d,n/E\ð,,,_,fro,7,Crd,Crd,ne2,DMF,ne2,CONcoo,CONcoo,,"Eulalie, l. 7",,
42,7,6,ne,ne,nE,n.e,n/E\,,,_,fro,7,Crd,Crd,ne2,DMF,ne2,CONcoo,CONcoo,,"Eulalie, l. 7",,
47,8,4,ne,ne,nE,n.e,n/E\,,,+,fro,8,Crd,Crd,ne2,DMF,ne2,CONcoo,CONcoo,,"Eulalie, l. 8",,
120,19,7,com,com,kOm,c.o.m,k/O\m,,,_,fro,19,Sub,Sub,comme,DMF,comme,CONsub,CONsub,,"Eulalie, l. 19",,
28,6,1,Qu,qu,k,qu,k/\,,,+,fro,6,Sub,Sub,que,DMF,que,CONsub,CONsub,,"Eulalie, l. 6",<l n=&quot;6&quot;>,
85,14,1,Qued,qued,kEð,qu.e.d,k/E\ð,,,_,fro,14,Sub,Sub,que,DMF,que,CONsub,CONsub,,"Eulalie, l. 14",<l n=&quot;14&quot;>,
101,17,1,Q_u,qu,k,qu,k/\,,,+,fro,17,Sub,Sub,que,DMF,que,CONsub,CONsub,,"Eulalie, l. 17",<lb/><lg type=&quot;couplet&quot;><l n=&quot;17&quot;>,
171,26,3,que,que,kE,qu.e,k/E\,,,_,fro,26,Sub,Sub,que,DMF,que,CONsub,CONsub,,"Eulalie, l. 26",,
176,27,1,Q_ued,qued,kEð,qu.e.d,k/E\ð,,,_,fro,27,Sub,Sub,que,DMF,que,CONsub,CONsub,,"Eulalie, l. 27",<lb/><lg type=&quot;couplet&quot;><l n=&quot;27&quot;>,
25,5,5,les,les,LES,l.e.s,L/E\S,,,_,fro,5,Det,Det,le,DMF,le,DETdef,DETdef,pmr,"Eulalie, l. 5",,
56,10,1,La,la,La,l.a,L/a\,,,_,fro,10,Det,Det,le,DMF,le,DETdef,DETdef,sfn,"Eulalie, l. 10",<l n=&quot;10&quot;>,
61,10,6,lo,lo,Lo,l.o,L/o\,,,_,fro,10,Det,Det,le,DMF,le,DETdef,DETdef,smr,"Eulalie, l. 10",,
88,14,4,lo,lo,Lo,l.o,L/o\,,,_,fro,14,Det,Det,le,DMF,le,DETdef,DETdef,smr,"Eulalie, l. 14",,
94,15,4,lo,lo,Lo,l.o,L/o\,,,_,fro,15,Det,Det,le,DMF,le,DETdef,DETdef,smr,"Eulalie, l. 15",,
99,16,3,les,les,LES,l.e.s,L/E\S,,,_,fro,16,Det,Det,le,DMF,le,DETdef,DETdef,pmr,"Eulalie, l. 16",,
116,19,3,l,l,L,l,/\L,,,_,fro,19,Det,Det,le,DMF,le,DETdef,DETdef,smr,"Eulalie, l. 19",,
147,22,7,lo,lo,Lo,l.o,L/o\,,,_,fro,22,Det,Det,le,DMF,le,DETdef,DETdef,smr,"Eulalie, l. 22",,
149,23,1,L_a,la,LA,l.a,L/A\,,,_,fro,23,Det,Det,le,DMF,le,DETdef,DETdef,sfn,"Eulalie, l. 23",<lb/><lg type=&quot;couplet&quot;><l n=&quot;23&quot;>,
156,24,2,lo,lo,Lo,l.o,L/o\,,,_,fro,24,Det,Det,le,DMF,le,DETdef,DETdef,smr,"Eulalie, l. 24",,
183,28,2,la,la,LA,l.a,L/A\,,,_,fro,28,Det,Det,le,DMF,le,DETdef,DETdef,sfr,"Eulalie, l. 28",,
13,3,4,li,li,Li,l.i,L/i\,,,_,fro,3,Det,Det,li,DMF,li,DETdef,DETdef,pmn,"Eulalie, l. 3",,
138,21,7,li,li,Li,l.i,L/i\,,,_,fro,21,Det,Det,li,DMF,li,DETdef,DETdef,smn,"Eulalie, l. 21",,
74,12,5,cels,cels,ÇeLS,c.e.l.s,Ç/e\LS,,,_,fro,12,Dem,Dem,cil,DMF,cil,DETdem,DETdem,pmr,"Eulalie, l. 12",,
151,23,3,celle,celle,Çelə,c.e.ll.e,'Ç/e\.l/(ə)\,,,_,fro,23,Dem,Dem,cil,DMF,cil,DETdem,DETdem,sfr,"Eulalie, l. 23",,
49,9,1,N_iule,niule,niylə,n.i.u.l.e,n/i\.'/y\.l/(ə)\,,,_,fro,9,QIs,QIs,nul,DMF,nul,DETind,DETind,sfn,"Eulalie, l. 9",<lb/><lg type=&quot;couplet&quot;><l n=&quot;9&quot;>,
142,22,2,une,une,ynə,u.n.e,'/y\.n/(ə)\,,,_,fro,22,QIs,QIs,un,DMF,un,DETndf,DETndf,sfr,"Eulalie, l. 22",,
104,17,4,sa,sa,SA,s.a,S/A\,,,_,fro,17,Adj,Adj,son4,DMF,son4,DETpos,DETpos,3sfr,"Eulalie, l. 17",,
192,29,2,souue,souwe,Souuə,s.o.u.w.e,'S/o\u.u/(ə)\,,,_,fro,29,Adj,Adj,son4,DMF,son4,DETpos,DETpos,3sfr,"Eulalie, l. 29",,
9,2,5,anima,anima,VRVRV,a.n.i.m.a,/V\.R/V\.'R/V\,,,|,lat,2,N,N,âme,DMF,âme,NOMcom,NOMcom,sfr,"Eulalie, l. 2",,</l></lg>
41,7,5,argent,argent,ArʤENT,a.r.g.e.n.t,/A\r.'ʤ/E\NT,a].-r.ɟ-.ɛ'].-n.t-_o[,native,_,fro,7,N,N,argent,DMF,argent,NOMcom,NOMcom,smr,"Eulalie, l. 7",,
148,22,8,chief,chief,ċiEF,ch.i.e.f,ċ/iE\F,k-.a'[..-p-_o[,native,|,fro,22,N,N,chef,DMF,chef,NOMcom,NOMcom,smr,"Eulalie, l. 22",,</l></lg>
50,9,2,cose,cose,ċɔzə,c.o.s.e,'ċ/ɔ\.z/(ə)\,k-.au'[.-s-.a[,native,_,fro,9,N,N,chose,DMF,chose,NOMcom,NOMcom,sfn,"Eulalie, l. 9",,
152,23,4,kose,kose,ċɔzə,k.o.s.e,'ċ/ɔ\.z/(ə)\,k-.au'[.-s-.a[,native,_,fro,23,N,N,chose,DMF,chose,NOMcom,NOMcom,sfr,"Eulalie, l. 23",,
36,6,9,ciel,ciel,ÇiEl,c.i.e.l,Ç/iE\l,c-.ɛ'[.-l-_o[,native,|,fro,6,N,N,ciel,DMF,ciel,NOMcom,NOMcom,smr,"Eulalie, l. 6",,</l></lg>
168,25,7,ciel,ciel,ÇiEl,c.i.e.l,Ç/iE\l,c-.ɛ'[.-l-_o[,native,_,fro,25,N,N,ciel,DMF,ciel,NOMcom,NOMcom,smr,"Eulalie, l. 25",,</l>
193,29,3,clementia,clementia,QRVRVRQVV,c.l.e.m.e.n.t.i.a,QR/V\.R/V\R.Q/V\.'/V\,,,|,lat,29,N,N,clémence,DMF,clémence,NOMcom,NOMcom,sfr,"Eulalie, l. 29",,</l></body></text>
165,25,4,colomb,colomb,kolONP,c.o.l.o.m.b,k/o\.'l/O\NP,k-.o[.-l-.o'].-m.b-_o[,native,_,fro,25,N,N,colombe,DMF,colombe,NOMcom,NOMcom,sfr,"Eulalie, l. 25",,
27,5,7,conselliers,conselliers,kONSEʎiErS,c.o.n.s.e.ll.i.e.r.s,k/O\N.S/E\.'ʎ/iE\rS,k-.o].-n.s-.e[.-lj-.a'[.-rj-_o[.-s-,native,.,fro,5,N,N,conseiller,DMF,conseiller,NOMcom,NOMcom,pmr,"Eulalie, l. 5",,</l>
7,2,3,corps,corps,kɔrPS,c.o.r.p.s,k/ɔ\rPS,k-.ɔ'].-r.p-_o[.-s-,native,_,fro,2,N,N,corps,DMF,corps,NOMcom,NOMcom,smr,"Eulalie, l. 2",,
124,20,2,colpes,colpes,koLpəS,c.o.l.p.e.s,'k/o\L.p/ə\S,k-.o'].-l.p-.a[.-s-,native,_,fro,20,N,N,coulpe,DMF,coulpe,NOMcom,NOMcom,pfr,"Eulalie, l. 20",,
150,23,2,domnizelle,domnizelle,dOmniʣɛlə,d.o.m.n.i.z.e.ll.e,d/O\m.n/i\.'ʣ/ɛ\.l/(ə)\,d-.o].-m.n-.i[.-c-.ɛ'].-ll-.a[,native,_,fro,23,N,N,damoiselle,DMF,damoiselle,NOMcom,NOMcom,sfn,"Eulalie, l. 23",,
75,12,6,dis,dis,diS,d.i.s,d/i\S,d-.i'[_e[.-s-,native,_,fro,12,N,N,di,DMF,di,NOMcom,NOMcom,pmr,"Eulalie, l. 12",,
19,4,4,diaule,diaule,diaulə,d.i.a.u.l.e,d/i\.'/a\u.l/(ə)\,d-.i[.a'].-b_o[.l-.o[,native,_,fro,4,N,N,diable,DMF,diable,NOMcom,NOMcom,smr,"Eulalie, l. 4",,
96,15,6,element,element,ElEmENT,e.l.e.m.e.n.t,/E\.l/E\.'m/E\NT,,loan,.,fro,15,N,N,élement,DMF,élement,NOMcom,NOMcom,smr,"Eulalie, l. 15",,</l>
15,3,6,inimi,inimi,inimi,i.n.i.m.i,/i\.n/i\.'m/i\,,relatinized,.,fro,3,N,N,enemi,DMF,enemi,NOMcom,NOMcom,pmn,"Eulalie, l. 3",,</l>
143,22,3,spede,spede,0Spæðə,.s.p.e.d.e,/[0]\S.'p/æ\.ð/(ə)\,0.s.p-.a'[.-t-.a[,native,_,fro,22,N,N,épée,DMF,épée,NOMcom,NOMcom,sfr,"Eulalie, l. 22",,
117,19,4,fou,fou,fɔu,f.o.u,f/ɔ\u,f-.ɔ'[_-k-.o[,native,_,fro,19,N,N,feu,DMF,feu,NOMcom,NOMcom,smr,"Eulalie, l. 19",,
163,25,2,figure,figure,figyrə,f.i.g.u.r.e,f/i\.'g/y\.r/(ə)\,,loan,_,fro,25,N,N,figure,DMF,figure,NOMcom,NOMcom,sfr,"Eulalie, l. 25",,
113,18,8,honestet,honestet,OnEStæð,ho.n.e.s.t.e.t,/O\.n/E\S.'t/æ\ð,o[_(h- o[).-n-.e].-s.t-.a'[.-t- e[,native,.|,fro,18,N,N,honnesté,DMF,honnesté,NOMcom,NOMcom,sfr,"Eulalie, l. 18",,</l></lg>
100,16,4,empedementz,empedementz,ENpEdEmENTS,e.m.p.e.d.e.m.e.n.t.z,/E\N.p/E\.d/E\.'m/E\NTS,,,|,fro,16,N,N,impédiment,DMF,impédiment,NOMcom,NOMcom,pmr,"Eulalie, l. 16",,</l></lg>
45,8,2,manatce,manatce,mAnaʦə,m.a.n.a.tc.e,m/A\.'n/a\.ʦ/(ə)\,m-.e[.-n-.a'].-kj-.a[,native,_,fro,8,N,N,menace,DMF,menace,NOMcom,NOMcom,sfr,"Eulalie, l. 8",,
181,27,6,mercit,mercit,mErʦið,m.e.r.c.i.t,m/E\r.'ʦ/i\ð,m-.e].-r.c-.ɛ'[.-d-_e[,native,.,fro,27,N,N,merci,DMF,merci,NOMcom,NOMcom,sfr,"Eulalie, l. 27",,</l>
