wd_id,line_id,linewd,dipl,word,phon,phon_map,syllabified,wd_div,textlineid,lang,syntag,syntag2,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,phil_note,ref,tei_right,tei_left
235,39,2,sanz,sanz,SANTS,s.a.n.z.,S/A\NTS,|,39,fro,Adj,Adj,saint,DMF,saint,ADJqua,ADJqua,smn,,"SLeger, l. 39",,
236,39,3,letgiers,letgiers,LETʤiErS,l.e.t.g.i.e.r.s,L/E\T.'ʤ/iE\rS,_,39,fro,N,N,Léger,wikipedia.fr,,NOMpro,NOMpro,smn,,"SLeger, l. 39",,<lb/>
237,39,4,sempre,sempre,SENprə,s.e.m.p.r.e,'S/E\N.pr/(ə)\,+,39,fro,Adv,Adv,sempres,DMF,sempres,ADVgen,ADVgen,,,"SLeger, l. 39",,
238,39,5,fud,fud,fyð,f.u.d,f/y\ð,+,39,fro,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,indpsp3,,"SLeger, l. 39",,
239,39,6,bons,bons,bOnS,b.o.n.s,b/O\nS,.,39,fro,Adj,Adj,bon,DMF,bon,ADJqua,ADJqua,smn,,"SLeger, l. 39",</l>,
240,40,1,sempre,sempre,SENprə,s.e.m.p.r.e,'S/E\N.pr/(ə)\,|,40,fro,Adv,Adv,sempres,DMF,sempres,ADVgen,ADVgen,,,"SLeger, l. 40",,<l n=&quot;40&quot;>
241,40,2,fist,fist,fiST,f.i.s.t,f/i\ST,_,40,fro,Vfin,Vfin,faire,DMF,faire,VERcjg,VERcjg,indpsp3,,"SLeger, l. 40",,<lb/>
242,40,3,bien,bien,biEn,b.i.e.n,b/iE\n,_,40,fro,Adv,Adv,bien,DMF,bien,ADVgen,ADVgen,,,"SLeger, l. 40",,
243,40,4,o,o,o,o,/o\,_,40,fro,Qux,Qux,où,DMF,où,PRNrel,PRNrel,,,"SLeger, l. 40",,
244,40,5,que,que,kE,qu.e,k/(E)\,_,40,fro,Sub,Sub,que,DMF,que,CONsub,CONsub,,,"SLeger, l. 40",,
245,40,6,el,el,el,e.l,/e\l,+,40,fro,Prn,Prn$,il,DMF,il,PRNper,PRNper,3smn,,"SLeger, l. 40",,
246,40,7,pod,pod,pɔT,p.o.d,p/ɔ\T,_,40,fro,Vfin,Vfin,pouvoir,DMF,pouvoir,VERcjg,VERcjg,indpsp3,,"SLeger, l. 40",</l>,
247,41,1,dauant,davant,dAvANT,d.a.v.a.n.t,d/A\.'v/A\NT,|,41,fro,PrA,PrA,devant,DMF,devant,PRE,PRE,,,"SLeger, l. 41",,<l n=&quot;41&quot;>
248,41,2,lo,lo,Lu,l.o,L/(u)\,+,41,fro,Det,Det,le,DMF,le,DETdef,DETdef,smr,,"SLeger, l. 41",,<lb/>
249,41,3,rei,rei,rei,r.e.i,r/e\i,+,41,fro,N,N,roi,DMF,roi,NOMcom,NOMcom,smr,,"SLeger, l. 41",,
250,41,4,en,en,EN,e.n,/E\N,_,41,fro,Prn,Prn$$,en2,DMF,en2,PRCadv,PRCadv,,,"SLeger, l. 41",,
251,41,5,fud,fud,fyð,f.u.d,f/y\ð,_,41,fro,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,indpsp3,,"SLeger, l. 41",,
252,41,6,laudiez,laudiez,LAuðæTS,l.a.u.d.ie.z.,L/A\u.'ð/æ\TS,.,41,fro,Vpp,Vpp,louer,DMF,louer,VERppe,VERppe,smn,,"SLeger, l. 41",</l>,
253,42,1,cum,cum,kOm,c.u.m,k/O\m,_,42,fro,Sub,Sub,comme,DMF,comme,CONsub,CONsub,,,"SLeger, l. 42",,<l n=&quot;42&quot;>
254,42,2,il,il,il,i.l,/i\l,|,42,fro,Prn,Prn$,il,DMF,il,PRNper,PRNper,3smn,,"SLeger, l. 42",,
255,42,3,l,l,L,l,L/\,+,42,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,3sna,,"SLeger, l. 42",,<lb/>
256,42,4,audit,audit,Auðið,a.u.d.i.t,/A\u.'ð/i\ð,_,42,fro,Vfin,Vfin,ouïr,DMF,ouïr,VERcjg,VERcjg,indpsp3,,"SLeger, l. 42",,
257,42,5,fu,fu,fy,f.u,f/y\,+,42,fro,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,indpsp3,,"SLeger, l. 42",,
258,42,6,li,li,Li,l.i,L/i\,+,42,fro,Prn,Prn%%,li,DMF,li,PRCper,PRCper,3smi,,"SLeger, l. 42",,
259,42,7,n,n,n,n,/\n,_,42,fro,Prn,Prn%%,en2,DMF,en2,PRCadv,PRCadv,,,"SLeger, l. 42",,
260,42,8,amet,amet,Amæð,a.m.e.t,/A\.'m/æ\ð,|,42,fro,Vpp,Vpp,aimer,DMF,aimer,VERppe,VERppe,smn,,"SLeger, l. 42",</l></lg>,
261,43,1,A,a,A,a,/A\,_,43,fro,Pre,Pre,à,DMF,à,PRE,PRE,,,"SLeger, l. 43",,<lb/><lg n=&quot;8&quot; rhyme=&quot;aabbcc&quot; type=&quot;stanza&quot; met=&quot;octosyllable&quot;><l n=&quot;43&quot;>
262,43,2,se,se,Se,s.e,S/e\,+,43,fro,Prn,Prn,soi,DMF,soi,PRNper,PRNper,3smr,,"SLeger, l. 43",,
263,43,3,l,l,L,l,/\L,_,43,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,3sma,,"SLeger, l. 43",,
264,43,4,mandat,mandat,mANdað,m.a.n.d.a.t,m/A\N.'d/a\ð,_,43,fro,Vfin,Vfin,mander,DMF,mander,VERcjg,VERcjg,indpsp3,,"SLeger, l. 43",,
265,43,5,[et],et,eð,e.t,/e\ð,_,43,fro,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,,"SLeger, l. 43",,
266,43,6,cio,cio,Çɔ,ci.o,Ç/ɔ\,_,43,fro,Prn,Prn,ce,DMF,ce,PRNdem,PRNdem,snr,,"SLeger, l. 43",,
267,43,7,li,li,Li,l.i,L/i\,+,43,fro,Prn,Prn$$,li,DMF,li,PRCper,PRCper,3sma,,"SLeger, l. 43",,
268,43,8,dist,dist,diST,d.i.s.t,d/i\ST,.,43,fro,Vfin,Vfin,dire,DMF,dire,VERcjg,VERcjg,indpsp3,,"SLeger, l. 43",</l>,
269,44,1,a,a,A,a,/A\,+,44,fro,Pre,Pre,à,DMF,à,PRE,PRE,,,"SLeger, l. 44",,<l n=&quot;44&quot;>
270,44,2,curt,curt,korT,c.u.r.t,k/o\rT,+,44,fro,N,N,cour,DMF,cour,NOMcom,NOMcom,sfr,,"SLeger, l. 44",,
271,44,3,fust,fust,fyST,f.u.s.t,f/y\ST,|,44,fro,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,subipf3,,"SLeger, l. 44",,
272,44,4,sempre,sempre,SENprə,s.e.m.p.r.e,'S/E\N.pr/(ə)\,_,44,fro,Adv,Adv,sempres,DMF,sempres,ADVgen,ADVgen,,,"SLeger, l. 44",,<lb/>
273,44,5,lui,lui,Lyi,l.u.i,L/y\i,_,44,fro,Prn,Prn$$,lui,DMF,lui,PRCper,PRCper,3sma,,"SLeger, l. 44",,
274,44,6,ser_uist,servist,SErviST,s.e.r.v.i.s.t,S/E\r.'v/i\ST,_,44,fro,Vfin,Vfin,servir,DMF,servir,VERcjg,VERcjg,subipf3,,"SLeger, l. 44",</l>,
275,45,1,il,il,il,i.l,/i\l,+,45,fro,Prn,Prn$,il,DMF,il,PRNper,PRNper,3smn,,"SLeger, l. 45",,<l n=&quot;45&quot;>
276,45,2,l,l,L,l,L/\,+,45,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,3sma,,"SLeger, l. 45",,
277,45,3,exaltat,exaltat,EKSALtað,e.x..a.l.t.a.t,/E\K.S/A\L.'t/a\ð,|,45,fro,Vfin,Vfin,exalter,DMF,exalter,VERcjg,VERcjg,indpsp3,,"SLeger, l. 45",,
278,45,4,e,e,e,e,/e\,+,45,fro,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,,"SLeger, l. 45",,<lb/>
279,45,5,l,l,L,l,L/\,+,45,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,3sma,,"SLeger, l. 45",,
280,45,6,onorat,onorat,OnOrað,o.n.o.r.a.t,/O\.n/O\.'r/a\ð,.,45,fro,Vfin,Vfin,honorer,DMF,honorer,VERcjg,VERcjg,indpsp3,,"SLeger, l. 45",</l>,
281,46,1,sa,sa,Sa,s.a,S/(a)\,+,46,fro,Det,Det,son4,DMF,son4,DETpos,DETpos,3sfr,,"SLeger, l. 46",,<l n=&quot;46&quot;>
282,46,2,gratia,gratia,QRVQVV,g.r.a.t.i.a,QR/V\.Q/V\.'/V\,_,46,lat,N,N,grâce,DMF,grâce,NOMcom,NOMcom,sfr,,"SLeger, l. 46",,
283,46,3,li,li,Li,l.i,L/i\,+,46,fro,Prn,Prn$$,li,DMF,li,PRCper,PRCper,3smi,,"SLeger, l. 46",,
284,46,4,perdonat,perdonat,pErdOnað,p.e.r.d.o.n.a.t,p/E\r.d/O\.'n/a\ð,.|,46,fro,Vfin,Vfin,pardonner,DMF,pardonner,VERcjg,VERcjg,indpsp3,,"SLeger, l. 46",</l>,
285,47,1,et,et,eð,e.t,/e\ð,+,47,fro,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,,"SLeger, l. 47",,<lb/><l n=&quot;47&quot;>
286,47,2,hunc,hunc,ONK,hu.n.c,/O\NK,_,47,fro,Adv,Adv,ains,DMF,ains,ADVgen,ADVgen,,,"SLeger, l. 47",,
287,47,3,tam,tam,tAN,t.a.m,t/A\N,+,47,fro,QIs,QIs,tant,DMF,tant,ADVgen,ADVgen,,,"SLeger, l. 47",,
288,47,4,bien,bien,biEn,b.i.e.n,b/iE\n,_,47,fro,Adv,Adv,bien,DMF,bien,ADVgen,ADVgen,,,"SLeger, l. 47",,
289,47,5,que,que,kE,qu.e,k/(E)\,_,47,fro,Sub,Sub,que,DMF,que,CONsub,CONsub,,,"SLeger, l. 47",,
290,47,6,il,il,il,i.l,/i\l,_,47,fro,Prn,Prn$,il,DMF,il,PRNper,PRNper,3smn,,"SLeger, l. 47",,
291,47,7,en,en,EN,e.n,/E\N,_,47,fro,Prn,Prn$$,en2,DMF,en2,PRCadv,PRCadv,,,"SLeger, l. 47",,
292,47,8,fist,fist,fiST,f.i.s.t,f/i\ST,.|,47,fro,Vfin,Vfin,faire,DMF,faire,VERcjg,VERcjg,indpsp3,,"SLeger, l. 47",</l>,
293,48,1,de,de,dE,d.e,d/(E)\,+,48,fro,Pre,Pre,de,DMF,de,PRE,PRE,,,"SLeger, l. 48",,<lb/><l n=&quot;48&quot;>
294,48,2,hostedun,hostedun,OStEðyn,ho.s.t.e.d.u.n,/O\S.t/E\.'ð/y\n,_,48,fro,N,N,Autun,wikipedia.fr,,NOMpro,NOMpro,smr,,"SLeger, l. 48",,
295,48,3,euesque,evesque,EveSkə,e.v.e.s.qu.e,/E\.'v/e\S.k/(ə)\,_,48,fro,N,N,évêque,DMF,évêque,NOMcom,NOMcom,smr,,"SLeger, l. 48",,
296,48,4,en,en,EN,e.n,/E\N,_,48,fro,Prn,Prn$$,en2,DMF,en2,PRCadv,PRCadv,,,"SLeger, l. 48",,
297,48,5,fist,fist,fiST,f.i.s.t,f/i\ST,|,48,fro,Vfin,Vfin,faire,DMF,faire,VERcjg,VERcjg,indpsp3,,"SLeger, l. 48",</l></lg>,
298,49,1,Quandius,quandius,QRVRQVQ,q.u.a.n.d.iu.s,'QR/V\R.Q/V\Q,_,49,lat,Sub,Sub,quand,DMF,quand,CONsub,CONsub,,,"SLeger, l. 49",,<lb/><lg n=&quot;9&quot; rhyme=&quot;aabbcc&quot; type=&quot;stanza&quot; met=&quot;octosyllable&quot;><l n=&quot;49&quot;>
299,49,2,uisquet,visquet,viSkɛð,v.i.s.qu.e.t,v/i\S.'k/ɛ\ð,_,49,fro,Vfin,Vfin,vivre,DMF,vivre,VERcjg,VERcjg,indpsp3,,"SLeger, l. 49",,
300,49,3,ciel,ciel,Çel,c.ie.l,Ç/e\l,_,49,fro,Dem,Dem,cil,DMF,cil,DETdem,DETdem,smn,,"SLeger, l. 49",,
301,49,4,reis,reis,reiS,r.e.i.s,r/e\iS,|,49,fro,N,N,roi,DMF,roi,NOMcom,NOMcom,smn,,"SLeger, l. 49",,
302,49,5,lothier,lothier,LOtiEr,l.o.th.i.e.r,L/O\.'t/iE\r,.,49,fro,N,N,Clothaire,wikipedia.fr,,NOMpro,NOMpro,smn,,"SLeger, l. 49",</l>,<lb/>
303,50,1,bien,bien,biEn,b.i.e.n,b/iE\n,_,50,fro,Adv,Adv,bien,DMF,bien,ADVgen,ADVgen,,,"SLeger, l. 50",,<l n=&quot;50&quot;>
304,50,2,honorez,honorez,OnOræTS,ho.n.o.r.e.z.,/O\.n/O\.'r/æ\TS,_,50,fro,Vpp,Vpp,honorer,DMF,honorer,VERppe,VERppe,smn,,"SLeger, l. 50",,
305,50,3,fud,fud,fyð,f.u.d,f/y\ð,|,50,fro,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,indpsp3,,"SLeger, l. 50",,
306,50,4,sancz,sancz,SANTS,s.a.n.c.z,S/A\NTS,_,50,fro,Adj,Adj,saint,DMF,saint,ADJqua,ADJqua,smn,,"SLeger, l. 50",,<lb/>
307,50,5,lethgiers,lethgiers,LETʤiErS,l.e.th.g.i.e.r.s,L/E\T.'ʤ/iE\rS,.,50,fro,N,N,Léger,wikipedia.fr,,NOMpro,NOMpro,smn,,"SLeger, l. 50",</l>,
308,51,1,il,il,il,i.l,/i\l,+,51,fro,Prn,Prn$,il,DMF,il,PRNper,PRNper,3smn,,"SLeger, l. 51",,<l n=&quot;51&quot;>
309,51,2,se,se,SE,s.e,S/(E)\,+,51,fro,Prn,Prn$$,se,DMF,se,PRCper,PRCper,3smr,,"SLeger, l. 51",,
310,51,3,fud,fud,fyð,f.u.d,f/y\ð,+,51,fro,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,indpsp3,,"SLeger, l. 51",,
311,51,4,morz,morz,mɔrTS,m.o.r.z.,m/ɔ\rTS,_,51,fro,Vpp,Vpp,mourir,DMF,mourir,VERppe,VERppe,smn,,"SLeger, l. 51",,
312,51,5,damz,damz,dAmÇ,d.a.m.z,d/A\mÇ,|,51,fro,N,N,dam,DMF,dam,NOMcom,NOMcom,smn,,"SLeger, l. 51",,
313,51,6,i,i,i,i,/i\,+,51,fro,Prn,Prn$$,y2,DMF,y2,PRCadv,PRCadv,,,"SLeger, l. 51",,<lb/>
314,51,7,fud,fud,fyð,f.u.d,f/y\ð,_,51,fro,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,indpsp3,,"SLeger, l. 51",,
315,51,8,granz,granz,grANTS,g.r.a.n.z.,gr/A\NTS,.,51,fro,Adj,Adj,grand,DMF,grand,ADJqua,ADJqua,smn,,"SLeger, l. 51",</l>,
316,52,1,cio,cio,Çɔ,ci.o,Ç/ɔ\,_,52,fro,Prn,Prn,ce,DMF,ce,PRNdem,PRNdem,smn,,"SLeger, l. 52",,<l n=&quot;52&quot;>
317,52,2,controuerent,controverent,kONtrOværəNT,c.o.n.t.r.o.v.e.r.e.n.t,k/O\N.tr/O\.'v/æ\.r/ə\NT,|,52,fro,Vfin,Vfin,controuver,DMF,controuver,VERcjg,VERcjg,indpsp6,,"SLeger, l. 52",,
318,52,3,baron,baron,bArOn,b.a.r.o.n,b/A\.'r/O\n,_,52,fro,N,N,baron,DMF,baron,NOMcom,NOMcom,pmn,,"SLeger, l. 52",,<lb/>
319,52,4,franc,franc,frANK,f.r.a.n.c,fr/A\NK,.,52,fro,Adj,Adj,franc,DMF,franc,ADJqua,ADJqua,pmn,,"SLeger, l. 52",</l>,
320,53,1,por,por,por,p.o.r,p/o\r,_,53,fro,Pre,Pre,pour,DMF,pour,PRE,PRE,,,"SLeger, l. 53",,<l n=&quot;53&quot;>
321,53,2,cio,cio,Çɔ,ci.o,Ç/ɔ\,_,53,fro,Prn,Prn,ce,DMF,ce,PRNdem,PRNdem,snr,,"SLeger, l. 53",,
322,53,3,que,que,kE,qu.e,k/(E)\,+,53,fro,Sub,Sub,que,DMF,que,CONsub,CONsub,,,"SLeger, l. 53",,
323,53,4,fud,fud,fyð,f.u.d,f/y\ð,|,53,fro,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,indpsp3,,"SLeger, l. 53",,
324,53,5,de,de,dE,d.e,d/(E)\,+,53,fro,Pre,Pre,de,DMF,de,PRE,PRE,,,"SLeger, l. 53",,<lb/>
325,53,6,bona,bona,bOnə,b.o.n.a,'b/O\.n/(ə)\,_,53,fro,Adj,Adj,bon,DMF,bon,ADJqua,ADJqua,sfr,,"SLeger, l. 53",,
326,53,7,fiet,fiet,feð,f.ie.t,f/e\ð,.,53,fro,N,N,foi,DMF,foi,NOMcom,NOMcom,sfr,,"SLeger, l. 53",</l>,
327,54,1,de,de,dE,d.e,d/(E)\,+,54,fro,Pre,Pre,de,DMF,de,PRE,PRE,,,"SLeger, l. 54",,<l n=&quot;54&quot;>
328,54,2,chiel_perig,chielperig,kELpEriK,ch.ie.l.p.e.r.i.g,k/E\L.p/E\.'r/i\K,|,54,fro,N,N,Childéric,wikipedia.fr,,NOMpro,NOMpro,smr,,"SLeger, l. 54",,
329,54,3,feissent,feissent,fEisəNT,f.e.i.ss.e.n.t,f/E\.'/i\.s/ə\NT,_,54,fro,Vfin,Vfin,faire,DMF,faire,VERcjg,VERcjg,subipf6,,"SLeger, l. 54",,<lb/>
330,54,4,rei,rei,rei,r.e.i,r/e\i,.|,54,fro,N,N,roi,DMF,roi,NOMcom,NOMcom,smr,,"SLeger, l. 54",</l></lg>,
331,55,1,Vn,un,yN,u.n,/y\N,_,55,fro,QIs,QIs,un,DMF,un,DETndf,DETndf,smr,,"SLeger, l. 55",,<lb/><lg n=&quot;10&quot; rhyme=&quot;aabbcc&quot; type=&quot;stanza&quot; met=&quot;octosyllable&quot;><l n=&quot;55&quot;>
332,55,2,compte,compte,kONPtə,c.o.m.p.t.e,'k/O\NP.t/(ə)\,_,55,fro,N,N,comte,DMF,comte,NOMcom,NOMcom,smr,,"SLeger, l. 55",,
333,55,3,i,i,i,i,/i\,+,55,fro,Prn,Prn$$,y2,DMF,y2,PRCadv,PRCadv,,,"SLeger, l. 55",,
334,55,4,oth,oth,ɔT,o.th,/ɔ\T,_,55,fro,Vfin,Vfin,avoir,DMF,avoir,VERcjg,VERcjg,indpsp0,,"SLeger, l. 55",,
335,55,5,p[re]s,pres,preS,p.r.e.s,pr/e\S,+,55,fro,Vfin,Vfin,prendre,DMF,prendre,VERcjg,VERcjg,indpsp3,,"SLeger, l. 55",,
336,55,6,en,en,En,e.n,/E\n,_,55,fro,Prn,Prn%%,en2,DMF,en2,PRCadv,PRCadv,,,"SLeger, l. 55",,
337,55,7,l,l,L,l,L/\,+,55,fro,Det,Det,le,DMF,le,DETdef,DETdef,smr,,"SLeger, l. 55",,
338,55,8,es_trit,estrit,EStrið,e.s.t.r.i.t,/E\S.'tr/i\ð,:|,55,fro,N,N,estrif,DMF,estrif,NOMcom,NOMcom,smr,,"SLeger, l. 55",</l>,
339,56,1,ciel,ciel,Çel,c.ie.l,Ç/e\l,_,56,fro,Dem,Dem,cil,DMF,cil,PRNdem,PRNdem,smn,,"SLeger, l. 56",,<lb/><l n=&quot;56&quot;>
340,56,2,eps,eps,ePS,e.p.s,/e\PS,_,56,fro,Adj,Adj,es2,TL,,ADJind,ADJind,smn,,"SLeger, l. 56",,
341,56,3,nu[m],num,nOm,n.u.m,n/O\m,+,56,fro,N,N,nom,DMF,nom,NOMcom,NOMcom,smr,,"SLeger, l. 56",,
342,56,4,auret,auret,Aurəð,a.u.r.e.t,'/A\u.r/ə\ð,_,56,fro,Vfin,Vfin,avoir,DMF,avoir,VERcjg,VERcjg,indpqp3,,"SLeger, l. 56",,
343,56,5,eurui,eurui,Evryi,e.u.r.u.i,/E\u.r/y\.'/i\,.|,56,fro,N,N,Ébroïn,wikipedia.fr,,NOMpro,NOMpro,smr,,"SLeger, l. 56",</l>,
344,57,1,ne,ne,nE,n.e,n/(E)\,+,57,fro,Neg,Neg$$,ne,DMF,ne,ADVneg,ADVneg,,,"SLeger, l. 57",,<lb/><l n=&quot;57&quot;>
345,57,2,uol,vol,vɔl,v.o.l,v/ɔ\l,_,57,fro,Vfin,Vfin,vouloir,DMF,vouloir,VERcjg,VERcjg,indpsp3,,"SLeger, l. 57",,
346,57,3,reciwre,reciwre,rEʦiurə,r.e.c.i.w.r.e,r/E\.'ʦ/i\u.r/(ə)\,_,57,fro,Vinf,Vinf,recevoir,DMF,recevoir,VERinf,VERinf,,,"SLeger, l. 57",,
347,57,4,chiel_perin,chielperin,kELpErin,ch.ie.l.p.e.r.i.n,k/E\L.p/E\.'r/i\n,.|,57,fro,N,N,Childéric,wikipedia.fr,,NOMpro,NOMpro,smr,,"SLeger, l. 57",</l>,
348,58,1,mais,mais,mAiS,m.a.i.s,m/A\iS,_,58,fro,Crd,Crd,mais,DMF,mais,CONcoo,CONcoo,,,"SLeger, l. 58",,<lb/><l n=&quot;58&quot;>
349,58,2,li,li,Li,l.i,L/i\,+,58,fro,Det,Det,le,DMF,le,DETdef,DETdef,smr,,"SLeger, l. 58",,
350,58,3,seu,seu,Sɛu,s.e.u,S/ɛ\u,_,58,fro,Adj,Adj,sien,DMF,sien,ADJpos,ADJpos,3smr,,"SLeger, l. 58",,
351,58,4,fredre,fredre,fræðrə,f.r.e.d.r.e,'fr/æ\.ðr/(ə)\,_,58,fro,N,N,frère,DMF,frère,NOMcom,NOMcom,smr,,"SLeger, l. 58",,
352,58,5,theoiri,theoiri,tEOiri,th.e.o.i.r.i,t/E\./O\i.'r/i\,.,58,fro,N,N,Thierry,wikipedia.fr,,NOMpro,NOMpro,smr,,"SLeger, l. 58",</l>,
353,59,1,ne,ne,nE,n.e,n/(E)\,+,59,fro,Neg,Neg$$,ne,DMF,ne,ADVneg,ADVneg,,,"SLeger, l. 59",,<l n=&quot;59&quot;>
354,59,2,l,l,L,l,/\L,|,59,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,3sma,,"SLeger, l. 59",,
355,59,3,condignet,condignet,kONdiɲɛð,c.o.n.d.i.gn.e.t,k/O\N.d/i\.'ɲ/ɛ\ð,_,59,fro,Vfin,Vfin,condigner,SLeger,,VERcjg,VERcjg,indpsp3,SLégerL:102,"SLeger, l. 59",,<lb/>
356,59,4,nuls,nuls,nyLS,n.u.l.s,n/y\LS,_,59,fro,QIs,QIs,nul,DMF,nul,PRNind,PRNind,smn,,"SLeger, l. 59",,
357,59,5,de,de,dE,d.e,d/(E)\,+,59,fro,Pre,Pre,de,DMF,de,PRE,PRE,,,"SLeger, l. 59",,
358,59,6,sos,sos,SoS,s.o.s,S/o\S,_,59,fro,Det,Det,son4,DMF,son4,DETpos,DETpos,3pmr,,"SLeger, l. 59",,
359,59,7,piers,piers,pærS,p.ie.r.s,p/æ\rS,.,59,fro,N,N,pair,DMF,pair,NOMcom,NOMcom,pmr,,"SLeger, l. 59",</l>,
360,60,1,re,re,re,r.e,r/e\,|,60,fro,N,N,roi,DMF,roi,NOMcom,NOMcom,smr,,"SLeger, l. 60",,<l n=&quot;60&quot;>
361,60,2,uolunt,volunt,vOləNT,v.o.l.u.n.t,'v/O\.l/ə\NT,_,60,fro,Vfin,Vfin,vouloir,DMF,vouloir,VERcjg,VERcjg,indpst6,,"SLeger, l. 60",,<lb/>
362,60,3,fair,fair,fAir0,f.a.i.r.,'f/A\i.r/(0)\,_,60,fro,Vinf,Vinf,faire,DMF,faire,VERinf,VERinf,,,"SLeger, l. 60",,
363,60,4,estre,estre,ɛStrə,e.s.t.r.e,'/ɛ\S.tr/(ə)\,_,60,fro,Pre,Pre,être4,DMF,être4,PRE,PRE,,,"SLeger, l. 60",,
364,60,5,so,so,So,s.o,S/o\,+,60,fro,Det,Det,son4,DMF,son4,DETpos,DETpos,3smr,,"SLeger, l. 60",,
365,60,6,gred,gred,græð,g.r.e.d,gr/æ\ð,.|,60,fro,N,N,gré,DMF,gré,NOMcom,NOMcom,smr,,"SLeger, l. 60",</l></lg>,
366,61,1,Il,il,il,i.l,/i\l,+,61,fro,Prn,Prn$,il,DMF,il,PRNper,PRNper,6pmn,,"SLeger, l. 61",,<cb n=&quot;b&quot;/><lb/><lg n=&quot;11&quot; rhyme=&quot;aabbcc&quot; type=&quot;stanza&quot; met=&quot;octosyllable&quot;><l n=&quot;61&quot;>
367,61,2,lo,lo,Lu,l.o,L/(u)\,_,61,fro,Prn,Prn$$,le,DMF,le,PRCper,PRCper,3sma,,"SLeger, l. 61",,
368,61,3,presdrent,presdrent,preSdrENT,p.r.e.s.d.r.e.n.t,pr/e\S.'dr/E\NT,_,61,fro,Vfin,Vfin,prendre,DMF,prendre,VERcjg,VERcjg,indpsp6,,"SLeger, l. 61",,
369,61,4,tuit,tuit,tUiT,t.u.i.t,t/U\iT,_,61,fro,QIs,QIs,tout,DMF,tout,PRNind,PRNind,pmn,,"SLeger, l. 61",,
370,61,5,a,a,A,a,/A\,+,61,fro,Pre,Pre,à,DMF,à,PRE,PRE,,,"SLeger, l. 61",,
371,61,6,conseil,conseil,kONSeʎ,c.o.n.s.e.il,k/O\N.'S/e\ʎ,|,61,fro,N,N,conseil,DMF,conseil,NOMcom,NOMcom,smr,,"SLeger, l. 61",</l>,
372,62,1,estre,estre,ɛStrə,e.s.t.r.e,'/ɛ\S.tr/(ə)\,_,62,fro,Pre,Pre,être4,DMF,être4,PRE,PRE,,,"SLeger, l. 62",,<lb/><l n=&quot;62&quot;>
373,62,2,so,so,So,s.o,S/o\,+,62,fro,Det,Det,son4,DMF,son4,DETpos,DETpos,3smr,,"SLeger, l. 62",,
374,62,3,gret,gret,græð,g.r.e.t,gr/æ\ð,_,62,fro,N,N,gré,DMF,gré,NOMcom,NOMcom,smr,,"SLeger, l. 62",,
375,62,4,en,en,EN,e.n,/E\N,_,62,fro,Prn,Prn$$,en2,DMF,en2,PRCadv,PRCadv,,,"SLeger, l. 62",,
376,62,5,fisdren,fisdren,fiSdrən,f.i.s.d.r.e.n,'f/i\S.dr/ə\n,_,62,fro,Vfin,Vfin,faire,DMF,faire,VERcjg,VERcjg,indpsp3,,"SLeger, l. 62",,
377,62,6,rei,rei,rei,r.e.i,r/e\i,.|,62,fro,N,N,roi,DMF,roi,NOMcom,NOMcom,smr,,"SLeger, l. 62",</l>,
378,63,1,et,et,eð,e.t,/e\ð,+,63,fro,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,,"SLeger, l. 63",,<lb/><l n=&quot;63&quot;>
379,63,2,ewruins,ewruins,EuryinS,e.w.r.u.i.n.s,/E\u.r/y\.'/i\nS,_,63,fro,N,N,Ébroïn,wikipedia.fr,,NOMpro,NOMpro,smn,,"SLeger, l. 63",,
380,63,3,ott,ott,ɔT,o.tt,/ɔ\T,+,63,fro,Vfin,Vfin,avoir,DMF,avoir,VERcjg,VERcjg,indpsp3,,"SLeger, l. 63",,
381,63,4,en,en,En,e.n,/E\n,_,63,fro,Prn,Prn%%,en2,DMF,en2,PRCadv,PRCadv,,,"SLeger, l. 63",,
382,63,5,gran,gran,grAn,g.r.a.n,gr/A\n,_,63,fro,Adj,Adj,grand,DMF,grand,ADJqua,ADJqua,smr,,"SLeger, l. 63",,
383,63,6,dol,dol,dOl,d.o.l,d/O\l,.|,63,fro,N,N,deuil,DMF,deuil,NOMcom,NOMcom,smr,,"SLeger, l. 63",</l>,
384,64,1,porr,porr,porr0,p.o.r.r.,'p/o\r.r/[0]\,+,64,fro,Pre,Pre,pour,DMF,pour,PRE,PRE,,,"SLeger, l. 64",,<lb/><l n=&quot;64&quot;>
