wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
142,39,1,deus,deus,–,dɛuS,d.e.u.s,,pro,NOMpro,NOMpro,smn,dèu,DOM,,"CantAnn, l. 39",,<supplied reason=&quot;illegible&quot;>descen</supplied>,<l n=&quot;39&quot;><q>
143,39,2,de,de,+,dE,d.e,,pro,PRE,PRE,,de,DOM,,"CantAnn, l. 39",,,
144,39,3,sus,sus,–,SyS,s.u.s,,pro,ADVgen,ADVgen,,sus,DOM,,"CantAnn, l. 39",,,
145,39,4,de,de,+,dE,d.e,,pro,PRE,PRE,,de,DOM,,"CantAnn, l. 39",,,
146,39,5,u,u,–|,u,u,,pro,DETdef,DETdef,smr,lo2,DOM,,"CantAnn, l. 39",,<lb/>,
147,39,6,cel,cel,–,Sɛl,c.e.l,,pro,NOMcom,NOMcom,smr,cèl,DOM,,"CantAnn, l. 39",,</q></l>,
148,40,1,n[=In],in,+,VN,i.n,/V\N,lat,ETR,ETR,,---,---,,"CantAnn, l. 40",,,<l xml:lang=&quot;lat&quot; n=&quot;40&quot;><q>
149,40,2,te,te,_,QV,t.e,Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 40",,<supplied reason=&quot;missing&quot;>virgo maria</supplied></q></l></lg>,
150,41,1,Animal,animal,–,VNVNVL,a.n.i.m.a.l,'/V\.N/V\.'N/V\L,lat,ETR,ETR,,---,---,,"CantAnn, l. 41",,,<lg xml:lang=&quot;lat&quot; n=&quot;11&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;41&quot;>
151,41,2,impositum,impositum,–,VNQVQVQVN,i.m.p.o.s.i.t.u.m,/V\N.'Q/V\.Q/V\.'Q/V\N,lat,ETR,ETR,,---,---,,"CantAnn, l. 41",,</l>,
152,42,1,ueneratur,veneratur,–,QVNVRVQVR,v.e.n.e.r.a.t.u.r,Q/V\.N/V\.'R/V\.Q/V\R,lat,ETR,ETR,,---,---,,"CantAnn, l. 42",,,<l n=&quot;42&quot;>
153,42,2,agni_tum,agnitum,–,VQNVQVN,a.g.n.i.t.u.m,'/V\Q.N/V\.'Q/V\N,lat,ETR,ETR,,---,---,,"CantAnn, l. 42",,</l>,
154,43,1,hu[n]c,hunc,_,QVNQ,h.u.n.c,Q/V\NQ,lat,ETR,ETR,,---,---,,"CantAnn, l. 43",,,<l n=&quot;43&quot;>
155,43,2,infantem,infantem,–|,VNQVNQVN,i.n.f.a.n.t.e.m,/V\N.'Q/V\N.Q/V\N,lat,ETR,ETR,,---,---,,"CantAnn, l. 43",,<lb/>,
156,43,3,genitum,genitum,–,QVNVQVN,g.e.n.i.t.u.m,'Q/V\.N/V\.'Q/V\N,lat,ETR,ETR,,---,---,,"CantAnn, l. 43",,</l>,
157,44,1,E,e,_,V,e,/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 44",,<supplied reason=&quot;missing&quot;>virgine maria</supplied></l></lg>,<l n=&quot;44&quot;>
158,45,1,Cum,cum,_,kOm,c.u.m,,pro,CONsub,CONsub,,cóm,DOM,,"CantAnn, l. 45",,,<lg n=&quot;12&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;45&quot;>
159,45,2,la,la,+,LA,l.a,,pro,DETdef,DETdef,sfn,la,DOM,,"CantAnn, l. 45",,,
160,45,3,reina,reina,_,rEinA,r.e.i.n.a,,pro,NOMcom,NOMcom,sfn,regina,DOM,,"CantAnn, l. 45",,,
161,45,4,l,l,+,L,l,,pro,PRCper,PRCper,3sma,lo3,DOM,,"CantAnn, l. 45",,,
162,45,5,enten,enten,–,ENtEn,e.n.t.e.n,,pro,VERcjg,VERcjg,indpst3,enténdre,DOM,,"CantAnn, l. 45",,</l>,
163,46,1,si,si,+,Si,s.i,,pro,ADVgen,ADVgen,,si2,DOM,,"CantAnn, l. 46",,,<l n=&quot;46&quot;>
164,46,2,l,l,_,L,l,,pro,PRCper,PRCper,3smi,li3,DOM,,"CantAnn, l. 46",,,
165,46,3,respon,respon,–,rESpOn,r.e.s.p.o.n,,pro,VERcjg,VERcjg,indpst3,repóndre,DOM,,"CantAnn, l. 46",,,
166,46,4,tam,tam,_,tAm,t.a.m,,pro,ADVgen,ADVgen,,tan,DOM,,"CantAnn, l. 46",,,
167,46,5,piamen,piamen,_,piAmEn,p.i.a.m.e.n,,pro,ADVgen,ADVgen,,piamen,DOM,,"CantAnn, l. 46",,</l>,
