wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
38,2,7,icel,icel,iʦeL,i.c.e.l,/i\.'ʦ/e\L,_,fro,DETdem,smr,cil,DMF,cil,"AlexisProl, f. 29r, l. 4",,
39,2,8,sul,sul,SuL,s.u.l,S/u\L,_,fro,ADJind,smr,seul,DMF,seul,"AlexisProl, f. 29r, l. 4",,
40,2,9,filz,filz,fiLÇ,f.i.l.z,f/i\LÇ,_,fro,NOMcom,smr,fils,DMF,fils,"AlexisProl, f. 29r, l. 4",,
41,2,10,angendrat,angendrat,ÆNʤÆNdrað,a.n.g.e.n.d.r.a.t,/Æ\N.ʤ/Æ\N.'dr/a\ð,.,fro,VERcjg,indpsp3,engendrer,DMF,engendrer,"AlexisProl, f. 29r, l. 4",</s>,
42,3,1,Apres,apres,AprɛS,a.p.r.e.s,/A\.'pr/ɛ\S,_,fro,PRE,---,après,DMF,après,"AlexisProl, f. 29r, l. 4",,<s>
43,3,2,le,le,LE,l.e,L/E\,_,fro,DETdef,sfr,le,DMF,le,"AlexisProl, f. 29r, l. 4",,
44,3,3,naisance,naisance,nAisANÇə,n.a.i.s.a.n.c.e,n/A\i.'s/A\N.Ç/ə\,|,fro,NOMcom,sfr,naissance,DMF,naissance,"AlexisProl, f. 29r, l. 4",,
45,3,4,co,co,Çɔ,c.o,Ç/ɔ\,_,fro,PRNdem,snn,ce,DMF,ce,"AlexisProl, f. 29r, l. 5",,<lb n=&quot;5&quot;/>
46,3,5,fut,fut,fyð,f.u.t,f/y\ð,_,fro,VERcjg,indpsp3,être,DMF,être,"AlexisProl, f. 29r, l. 5",,
47,3,6,emfes,emfes,ENfəS,e.m.f.e.s,'/E\N.f/ə\S,_,fro,NOMcom,smn,enfant,DMF,enfant,"AlexisProl, f. 29r, l. 5",,
48,3,7,de,de,dE,d.e,d/E\,_,fro,PRE,---,de,DMF,de,"AlexisProl, f. 29r, l. 5",,
49,3,8,deu,deu,dæu,d.e.u,d/æ\u,+,fro,NOMpro,smr,Dieu,DMF,Dieu,"AlexisProl, f. 29r, l. 5",,
50,3,9,methime,methime,mEðimə,m.e.th.i.m.e,m/E\.'ð/i\.m/ə\,_,fro,ADJind,smr,même,DMF,même,"AlexisProl, f. 29r, l. 5",,
51,3,10,amet,amet,Amæð,a.m.e.t,/A\.'m/æ\ð,.,fro,VERppe,smr,aimer,DMF,aimer,"AlexisProl, f. 29r, l. 5",,
52,3,11,e,e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,"AlexisProl, f. 29r, l. 5",,
53,3,12,de,de,dE,d.e,d/E\,_,fro,PRE,---,de,DMF,de,"AlexisProl, f. 29r, l. 5",,
54,3,13,pere,pere,pærə,p.e.r.e,'p/æ\.r/ə\,_,fro,NOMcom,smr,père,DMF,père,"AlexisProl, f. 29r, l. 5",,
55,3,14,e,e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,"AlexisProl, f. 29r, l. 5",,
56,3,15,de,de,dE,d.e,d/E\,_,fro,PRE,---,de,DMF,de,"AlexisProl, f. 29r, l. 5",,
57,3,16,mere,mere,mærə,m.e.r.e,'m/æ\.r/ə\,|,fro,NOMcom,smr,mère,DMF,mère,"AlexisProl, f. 29r, l. 5",,
58,3,17,par,par,par,p.a.r,p/a\r,_,fro,PRE,---,par,DMF,par,"AlexisProl, f. 29r, l. 6",,<lb n=&quot;6&quot;/>
59,3,18,grant,grant,grANT,g.r.a.n.t,gr/A\NT,_,fro,ADJqua,sfr,grand,DMF,grand,"AlexisProl, f. 29r, l. 6",,
60,3,19,certet,certet,ÇErtæð,c.e.r.t.e.t,Ç/E\r.'t/æ\ð,_,fro,NOMcom,sfr,certeté,DMF,certeté,"AlexisProl, f. 29r, l. 6",,
61,3,20,nurrit,nurrit,nurrið,n.u.r.r.i.t,n/u\r.'r/i\ð,.,fro,VERppe,smr,nourrir,DMF,nourrir,"AlexisProl, f. 29r, l. 6",</s>,
62,4,1,la,la,La,l.a,L/a\,+,fro,DETdef,sfn,le,DMF,le,"AlexisProl, f. 29r, l. 6",,<s>
63,4,2,sue,sue,Suə,s.u.e,'S/u\./ə\,_,fro,ADJpos,3sfn,sien,DMF,sien,"AlexisProl, f. 29r, l. 6",,
64,4,3,iuuente,juvente,ʤuvENtə,j.u.v.e.n.t.e,ʤ/u\.'v/E\N.t/ə\,_,fro,NOMcom,sfn,jouvente,DMF,jouvente,"AlexisProl, f. 29r, l. 6",,
65,4,4,fut,fut,fyð,f.u.t,f/y\ð,_,fro,VERcjg,indpsp3,être,DMF,être,"AlexisProl, f. 29r, l. 6",,
66,4,5,honeste,honeste,OnɛStə,ho.n.e.s.t.e,/O\.'n/ɛ\S.t/ə\,_,fro,ADJqua,sfn,honnête,DMF,honnête,"AlexisProl, f. 29r, l. 6",,
67,4,6,e,e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,"AlexisProl, f. 29r, l. 6",,
68,4,7,spiritel,spiritel,SpiritæL,s.p.i.r.i.t.e.l,Sp/i\.r/i\.'t/æ\L,.|,fro,ADJqua,sfn,spirituel,DMF,spirituel,"AlexisProl, f. 29r, l. 6",</s>,
69,5,1,Par,par,par,p.a.r,p/a\r,_,fro,PRE,---,par,DMF,par,"AlexisProl, f. 29r, l. 7",,<lb n=&quot;7&quot;/><s>
70,5,2,l,l,L,l,L/\,+,fro,DETdef,sfr,le,DMF,le,"AlexisProl, f. 29r, l. 7",,
71,5,3,amistet,amistet,AmiStæð,a.m.i.s.t.e.t,/A\.m/i\S.'t/æ\ð,_,fro,NOMcom,sfr,amitié,DMF,amitié,"AlexisProl, f. 29r, l. 7",,
72,5,4,de,de,dE,d.e,d/E\,+,fro,PRE,---,de,DMF,de,"AlexisProl, f. 29r, l. 7",,
73,5,5,l,l,L,l,/\L,+,fro,DETdef,sfr,le,DMF,le,"AlexisProl, f. 29r, l. 7",,
74,5,6,surerain,surerain,surErAin,s.u.r.e.r.a.i.n,s/u\.r/E\.'r/A\in,_,fro,ADJqua,sfr,souverain,DMF,souverain,"AlexisProl, f. 29r, l. 7",,
