wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
179,9,39,nient,nient,niENT,n.i.e.n.t,n/i\.'/E\NT,_,PRNind,ADVgen,,néant,DMF,néant,"SGregPaint, 34v, l. 33",,
180,9,40,dep[er]dra,deperdra,dEpɛrdrə,d.e.p.e.r.d.r.a,d/E\.'p/ɛ\r.dr/ə\,_,VERinf,VERinf,,déperdre,DMF,déperdre,"SGregPaint, 34v, l. 33",,
181,9,41,la,la,La,l.a,L/a\,_,DETdef,DETdef,sfr,le,DMF,le,"SGregPaint, 34v, l. 33",,
182,9,42,cuileita,cuileita,kuiLetə,c.u.i.l.ei.t.a,k/u\i.'L/e\.t/ə\,_,NOMcom,NOMcom,sfr,cueillette,DMF,cueillette,"SGregPaint, 34v, l. 33",,
183,9,43,folc,folc,fuLK,f.o.l.c,f/u\LK,.,NOMcom,NOMcom,smr,fouc,DMF,fouc,"SGregPaint, 34v, l. 33",,
184,9,44,mais,mais,mAiS,m.a.i.s,m/A\iS,_,CONcoo,CONcoo,,mais,DMF,mais,"SGregPaint, 34v, l. 33",,
185,9,45,maisment,maisment,mEiSmENT,m.a.i.s.m.e.n.t,m/E\./i\.'Sm/E\NT,_,ADVgen,ADVgen,,mêmement,DMF,mêmement,"SGregPaint, 34v, l. 33",,
186,9,46,ase[m]blier,asemblier,AsÆNbLær,a.s.e.m.b.l.ie.r,/A\.s/Æ\N.'bL/æ\r,|,VERinf,VERinf,,assembler,DMF,assembler,"SGregPaint, 34v, l. 33",,
187,9,47,que,que,kE,qu.e,k/E\,_,CONsub,CONsub,,que,DMF,que,"SGregPaint, 34v, l. 34",,<lb n=&quot;34&quot;/>
188,9,48,le,le,LE,l.e,L/E\,_,DETdef,DETdef,smr,le,DMF,le,"SGregPaint, 34v, l. 34",,
189,9,49,nient,nient,niENT,n.i.e.n.t,n/i\.'/E\NT,_,PRNind,ADVgen,,néant,DMF,néant,"SGregPaint, 34v, l. 34",,
190,9,50,fraint,fraint,frAiNdrə,f.r.a.i.n.t,'fr/A\iN.dr/ə\,_,VERppe,VERppe,smr,fraindre,DMF,fraindre,"SGregPaint, 34v, l. 34",,
191,9,51,num,num,nOm,n.u.m,n/O\m,_,NOMcom,NOMcom,smr,nom,DMF,nom,"SGregPaint, 34v, l. 34",,
192,9,52,de,de,dE,d.e,d/E\,+,PRE,PRE,,de,DMF,de,"SGregPaint, 34v, l. 34",,
193,9,53,pastur,pastur,pAStur,p.a.s.t.u.r,p/A\S.'t/u\r,_,NOMcom,NOMcom,smr,pasteur,DMF,pasteur,"SGregPaint, 34v, l. 34",,
194,9,54,excellist,excellist,EkSʦELiST,e.x..c.e.ll.i.s.t,/E\kS.ʦ/E\.'L/i\ST,.,VERcjg,VERcjg,subipf3,excellir,DMF,excellir,"SGregPaint, 34v, l. 34",,
195,9,55,e,e,e,e,/e\,_,CONcoo,CONcoo,,et,DMF,et,"SGregPaint, 34v, l. 34",,
196,9,56,nient,nient,niENT,n.i.e.n.t,n/i\.'/E\NT,_,PRNind,PRNind,snr,néant,DMF,néant,"SGregPaint, 34v, l. 34",,
197,9,57,an,an,ÆN,a.n,/Æ\N,+,PRCadv,PRCadv,,en2,DMF,en2,"SGregPaint, 34v, l. 34",,
198,9,58,í,i,i,i,/i\,+,PRCadv,PRCadv,,y2,DMF,y2,"SGregPaint, 34v, l. 34",,
199,9,59,óust,oust,ɔyST,o.u.s.t,/ɔ\.'/y\ST,_,VERcjg,VERcjg,subipf3,avoir,DMF,avoir,"SGregPaint, 34v, l. 34",,
200,9,60,la,la,La,l.a,L/a\,+,DETdef,DETdef,sfn,le,DMF,le,"SGregPaint, 34v, l. 34",,
201,9,61,culpa,culpa,kuLpə,c.u.l.p.a,'k/u\L.p/ə\,_,NOMcom,NOMcom,sfn,coulpe,DMF,coulpe,"SGregPaint, 34v, l. 34",,
202,9,62,de,de,dE,d.e,d/E\,+,PRE,PRE,,de,DMF,de,"SGregPaint, 34v, l. 34",,
203,9,63,l,l,L,l,/\L,|,DETdef,DETdef,smr,le,DMF,le,"SGregPaint, 34v, l. 34",,
204,9,64,dep[er]dethur,deperdethur,dEpErdEður,d.e.p.e.r.d.e.th.u.r,d/E\.p/E\r.d/E\.'ð/u\r,.,NOMcom,NOMcom,smr,deperdethur,AND,,"SGregPaint, 34v, l. 35",</s></p></body></text>,<lb n=&quot;35&quot;/>
