wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
271,71,4,esmes,esmes,–|,ɛSmES,e.s.m.e.s,'/ɛ\S.m/E\S,pro,VERcjg,VERcjg,indpst4,èser,DOM,,"PrVierge2, l. 71",,<lb/>,
272,71,5,erum_but,erumbut,_,ErONbyT,e.r.u.m.b.u.t,/E\.r/O\N.'b/y\T,pro,VERppe,VERppe,pmn,érompre,DMF,,"PrVierge2, l. 71",lemma_SponsT:238,</l>,
273,72,1,De,de,+,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 72",,,<l n=&quot;72&quot;>
274,72,2,u[=uirgine],virgine,_,QVRQVNV,v.i.r.g.i.n.e,'Q/V\R.Q/V\.'N/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 72",,<supplied reason=&quot;missing&quot;>maria</supplied></l></lg>,
275,73,1,Eu,eu,_,ɛu,e.u,/ɛ\u,pro,PRNper,PRNper,1smn,eu,DOM,,"PrVierge2, l. 73",,,<lg n=&quot;19&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;73&quot;>
276,73,2,uos,vos,_,vOS,v.o.s,v/O\S,pro,PRCper,PRCper,5pmi,vós,DOM,,"PrVierge2, l. 73",,,
277,73,3,ai,ai,+,Ai,a.i,/A\i,pro,VERcjg,VERcjg,indpst1,avér,DOM,,"PrVierge2, l. 73",,,
278,73,4,dit,dit,–,diT,d.i.t,d/i\T,pro,VERppe,VERppe,smr,dire,DOM,,"PrVierge2, l. 73",,,
279,73,5,mon,mon,+,mOn,m.o.n,m/O\n,pro,DETpos,DETpos,1smr,mon,DOM,,"PrVierge2, l. 73",,,
280,73,6,ta_lan,talan,–,tAlAn,t.a.l.a.n,t/A\.'l/A\n,pro,NOMcom,NOMcom,smr,talén,DOM,,"PrVierge2, l. 73",,</l>,
281,74,1,e,e,+,E,e,/E\,pro,CONcoo,CONcoo,,e,DOM,,"PrVierge2, l. 74",,,<l n=&quot;74&quot;>
282,74,2,uos,vos,–,voS,v.o.s,v/o\S,pro,PRNper,PRNper,5pmn,vós,DOM,,"PrVierge2, l. 74",,,
283,74,3,diiat,diiat,–,diiAT,d.i.i.a.t,d/i\i.'/A\T,pro,VERcjg,VERcjg,subpst5,dire,DOM,,"PrVierge2, l. 74",,,
284,74,4,en,en,+,EN,e.n,/E\N,pro,PRE,PRE,,én2,DOM,,"PrVierge2, l. 74",,,
285,74,5,a_uan,avan,–|,AvAn,a.v.a.n,/A\.'v/A\n,pro,ADVgen,ADVgen,,avan,DOM,,"PrVierge2, l. 74",,</l><lb/>,
286,75,1,ch_a_ques,chaques,_,ċAkES,ch.a.qu.e.s,'ċ/A\.k/E\S,pro,DETind,DETind,pmr,cac,DOM,,"PrVierge2, l. 75",,,<l n=&quot;75&quot;>
287,75,2,uers,vers,–,vɛrS,v.e.r.s,v/ɛ\rS,pro,NOMcom,NOMcom,pmr,vèrs,DOM,,"PrVierge2, l. 75",,,
288,75,3,nous,nous,+,nɔuS,n.o.u.s,n/ɔ\uS,pro,ADJqua,ADJqua,pmr,nòu,DOM,,"PrVierge2, l. 75",,,
289,75,4,ab,ab,–,AP,a.b,/A\P,pro,PRE,PRE,,ab,DOM,,"PrVierge2, l. 75",,,
290,75,5,nos,nos,_,noS,n.o.s,n/o\S,pro,PRNper,PRNper,5pmr,nós,DOM,,"PrVierge2, l. 75",,,
291,75,6,ian,jan,_,ʤAn,j.a.n,ʤ/A\n,pro,ADVgen,ADVgen,,gén2,DOM,,"PrVierge2, l. 75",lemma_SponsT:239,</l>,
292,76,1,De,de,+,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 76",,,<l n=&quot;76&quot;>
293,76,2,uir[=uirgine],virgine,|,QVRQVNV,v.i.r.g.i.n.e,'Q/V\R.Q/V\.'N/V\,lat,ETR,ETR,,---,---,,"PrVierge2, l. 76",,<supplied reason=&quot;missing&quot;>maria</supplied></l></lg></body></text>,
