wd_id,line_id,line_wd,dipl,word,wd_div,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
,,,per,,+,,,,,,,,,,,
,,,re,,_,,,,,,,,,,,
,,,no,,_,,,,,,,,,,,
,,,foran,,–|,,,,,,,,,,,
,,,Adam,,_,,,,,,,,,,,
,,,meniet,,_,,,,,,,,,,,
,,,lo,,_,,,,,,,,,,,
,,,fruit,,–,,,,,,,,,,,
,,,p[er],,_,,,,,,,,,,,
,,,que,,_,,,,,,,,,,,
,,,fom,,_,,,,,,,,,,,
,,,tuit,,–,,,,,,,,,,,
,,,p[er]dut,,_,,,,,,,,,,,
,,,Adam,,_,,,,,,,,,,,
,,,no,,_,,,,,,,,,,,
,,,creet,,–|,,,,,,,,,,,
,,,deu,,–,,,,,,,,,,,
,,,a,,+,,,,,,,,,,,
,,,tot,,_,,,,,,,,,,,
,,,nos,,_,,,,,,,,,,,
,,,en,,_,,,,,,,,,,,
,,,uai,,_,,,,,,,,,,,
,,,greu,,_,,,,,,,,,,,
,,,Deus,,_,,,,,,,,,,,
,,,receubt,,–,,,,,,,,,,,
,,,p[er],,+,,,,,,,,,,,
,,,lui,,–,,,,,,,,,,,
,,,mort,,–,,,,,,,,,,,
,,,e,,+,,,,,,,,,,,
,,,la,,+,,,,,,,,,,,
,,,crot,,_,,,,,,,,,,,
,,,a,,+,,,,,,,,,,,
,,,gran,,|,,,,,,,,,,,
,,,tort,,_,,,,,,,,,,,
,,,E,,_,,,,,,,,,,,
,,,re_sors,,_,,,,,,,,,,,
,,,a,,+,,,,,,,,,,,
,,,l,,+,,,,,,,,,,,
,,,tert,,–,,,,,,,,,,,
,,,dia,,–,,,,,,,,,,,
,,,si,,+,,,,,,,,,,,
,,,cum,,–,,,,,,,,,,,
,,,o,,+,,,,,,,,,,,
,,,dii,,_,,,,,,,,,,,
,,,maria,,_,,,,,,,,,,,
,,,Aut,,_,,,,,,,,,,,
,,,apostols,,–|,,,,,,,,,,,
,,,cum_tet,,–,,,,,,,,,,,<pb n=&quot;50r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f107.item&quot;/>
,,,tot,,–,,,,,,,,,,,
,,,e,,+,,,,,,,,,,,
,,,dis,,–,,,,,,,,,,,
,,,c,,+,,,,,,,,,,,
,,,ap,,_,,,,,,,,,,,
,,,deu,,–,,,,,,,,,,,
,,,parlet,,–,,,,,,,,,,,
,,,qu,,+,,,,,,,,,,,
,,,eu,,+,,,,,,,,,,,
,,,poi,,–,,,,,,,,,,,
,,,de,,+,,,,,,,,,,,
,,,galilea,,–,,,,,,,,,,,
,,,uiu,,_,,,,,,,,,,,
,,,lo,,+,,,,,,,,,,,
,,,uerem,,_,,,,,,,,,,,
,,,an–|gera,,_,,,,,,,,,,,
,,,Vida,,_,,,,,,,,,,,
,,,qui,,_,,,,,,,,,,,
,,,mort,,_,,,,,,,,,,,
,,,aucis,,–,,,,,,,,,,,
,,,nos,,–,,,,,,,,,,,
,,,donet,,_,,,,,,,,,,,
,,,paradis,,–,,,,,,,,,,,
,,,gloria,,_,,,,,,,,,,,
,,,aisamen,,_,,,,,,,,,,,
,,,nos,,–|,,,,,,,,,,,
,,,do,,–,,,,,,,,,,,
,,,deus,,_,,,,,,,,,,,
,,,ueramen,,–,,,,,,,,,,</body></text>,
