wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,phon_map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
39,3,8,5,"EpreuveJudic, l. 3",gloriari,gloriari,,,,.,lat,---,---,---,---,---,,</s></item>,
40,3,9,6,"EpreuveJudic, l. 3",ps[almus],psalmus,,,,.,lat,---,---,---,---,---,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
41,3,10,7,"EpreuveJudic, l. 3",d[eu]s,deus,,,,_,lat,---,---,---,---,---,,,<item><s xml:lang=&quot;lat&quot;>
42,3,11,7,"EpreuveJudic, l. 3",misereat[ur],misereatur,,,,.,lat,---,---,---,---,---,,</s></item>,
43,3,12,8,"EpreuveJudic, l. 3",or[atio],oratio,,,,.,lat,---,---,---,---,---,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
44,3,13,9,"EpreuveJudic, l. 3",D[eu]s,deus,,,,|,lat,---,---,---,---,---,,,<item><s xml:lang=&quot;lat&quot;>
45,4,1,9,"EpreuveJudic, l. 4",q[ui],qui,,,,+,lat,---,---,---,---,---,,,<lb n=&quot;4&quot;/>
46,4,2,9,"EpreuveJudic, l. 4",in,in,,,,_,lat,---,---,---,---,---,,,
47,4,3,9,"EpreuveJudic, l. 4",p[rae]clara,praeclara,,,,.,lat,---,---,---,---,---,,</s></item>,
48,4,4,10,"EpreuveJudic, l. 4",ep[istola],epistola,,,,.,lat,---,---,---,---,---,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
49,4,5,11,"EpreuveJudic, l. 4",Fr[atre]s,fratres,,,,",",lat,---,---,---,---,---,,,<item><s xml:lang=&quot;lat&quot;>
50,4,6,11,"EpreuveJudic, l. 4",Confido,confido,,,,_,lat,---,---,---,---,---,,,
51,4,7,11,"EpreuveJudic, l. 4",in,in,,,,_,lat,---,---,---,---,---,,,
52,4,8,11,"EpreuveJudic, l. 4",uob[is],vobis,,,,.,lat,---,---,---,---,---,,</s></item>,
53,4,9,12,"EpreuveJudic, l. 4",All[eluia],alleluia,,,,.,lat,---,---,---,---,---,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
54,4,10,13,"EpreuveJudic, l. 4",Nos,nos,,,,+,lat,---,---,---,---,---,,,<item><s xml:lang=&quot;lat&quot;>
