wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lang,para_id,syntag,syntag2,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_right,tei_left
36,5,5,dunat,dunat,dOnəð,d.u.n.a.t,'d/O\.n/ə\ð,.,fro,2,Vfin,Vfin,donner,DMF,donner,VERcjg,VERcjg,indpst3,"Serments, 13r, col. b, l. 7",,
37,5,6,si,si,Si,s.i,S/i\,+,fro,2,Adv,Adv,si4,DMF,si4,ADVgen,ADVgen,,"Serments, 13r, col. b, l. 7",,
38,5,7,saluerai,salverai,SALvErAi,s.a.l.v.e.r.a.i,S/A\L.v/E\.'r/A\i,+,fro,2,Vfin,Vfin,sauver,DMF,sauver,VERcjg,VERcjg,indfut1,"Serments, 13r, col. b, l. 7",,
39,5,8,eo,eo,eu,e.o,/e\u,.|,fro,2,Prn,Prn,je,DMF,je,PRNper,PRNper,1smn,"Serments, 13r, col. b, l. 7",,
40,6,1,cist,cist,ÇeST,c.i.s.t,Ç/e\ST,_,fro,2,Dem,Dem,cist,DMF,cist,DETdem,DETdem,smr,"Serments, 13r, col. b, l. 8",,<lb n=&quot;8&quot;/>
41,6,2,meon,meon,mɛun,m.e.o.n,m/ɛ\un,_,fro,2,Adj,Adj,mien,DMF,mien,ADJpos,ADJpos,1smr,"Serments, 13r, col. b, l. 8",,
42,6,3,fradre,fradre,frAðrə,f.r.a.d.r.e,'fr/A\.ðr/ə\,_,fro,2,N,N,frère,DMF,frère,NOMcom,NOMcom,smr,"Serments, 13r, col. b, l. 8",,
43,6,4,karlo,karlo,kArLə,k.a.r.l.o,'k/A\r.L/ə\,.,fro,2,N,N,Charles,---,,NOMpro,NOMpro,smr,"Serments, 13r, col. b, l. 8",,
44,6,5,[et],et,eð,e.t,/e\ð,_,fro,2,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,"Serments, 13r, col. b, l. 8",,
45,6,6,in,in,EN,i.n,/E\N,_,fro,2,Pre,Pre,en,DMF,en,PRE,PRE,,"Serments, 13r, col. b, l. 8",,
