wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
35,7,3,7,"Alba, l. 7",interficere,interficere,;,VNQVRQVQVRV,i.n.t.e.r.f.i.c.e.r.e,/V\N.Q/V\R.'Q/V\.Q/V\.'R/V\,lat,ETR,---,---,---,---,,</l>,
36,8,1,8,"Alba, l. 8",Quos,quos,_,QRVQ,q.u.o.s,QR/V\Q,lat,ETR,---,---,---,---,,,<l xml:lang=&quot;lat&quot; n=&quot;8&quot;>
37,8,2,8,"Alba, l. 8",suad[et],suadet,_,QVVQVQ,s.u.a.d.e.t,'QV/V\.Q/V\Q,lat,ETR,---,---,---,---,,,
38,8,3,8,"Alba, l. 8",preco,preco,_,QRVQV,p.r.e.c.o,'QR/V\.Q/V\,lat,ETR,---,---,---,---,,,
39,8,4,8,"Alba, l. 8",clamat,clamat,_,QLVNVQ,c.l.a.m.a.t,'QL/V\.N/V\Q,lat,ETR,---,---,---,---,,,
40,8,5,8,"Alba, l. 8",surgere,surgere,|,QVRQVRV,s.u.r.g.e.r.e,'Q/V\R.Q/V\.'R/V\,lat,ETR,---,---,---,---,,</l>,
41,9,1,9,"Alba, l. 9",L,l,+,L,l,L/\,pro,DETdef,sfn,la,DOM,le,,,<lb/><l xml:lang=&quot;pro&quot; n=&quot;9&quot;>
42,9,2,9,"Alba, l. 9",alba,alba,_,ALbA,a.l.b.a,'/A\L.b/(A)\,pro,NOMcom,sfn,alba,DOM,aube,,,
43,9,3,9,"Alba, l. 9",part,part,_,pArT,p.a.r.t,p/A\rT,pro,VERcjg,indpst3,partir,DOM,partir,,,
44,9,4,9,"Alba, l. 9",um[et],umet,+,ymeT,u.m.e.t,'/y\.m/E\T,pro,ADJqua,smr,umezit,DOM,humide,,,
45,9,5,9,"Alba, l. 9",mar,mar,_,mAr,m.a.r,m/A\r,pro,NOMcom,smr,mar,DOM,mer,,,
46,9,6,9,"Alba, l. 9",atra,atra,_,AtrA,a.t.r.a,'/A\.tr/(A)\,pro,VERcjg,indpst3,atraire,DOM,attraire,,,
47,9,7,9,"Alba, l. 9",sol,sol,;,Sol,s.o.l,S/o\l,pro,NOMcom,smr,sól,DOM,---,,</l>,
48,10,1,10,"Alba, l. 10",Po,po,+,pɔ,p.o,p/ɔ\,pro,ADVgen,---,pòis,DOM,puis,,,<l xml:lang=&quot;pro&quot; n=&quot;10&quot;>
49,10,2,10,"Alba, l. 10",ẏ,y,_,i,y,/\i,pro,PRCadv,---,i,DOM,y2,,,
50,10,3,10,"Alba, l. 10",pas_a,pasa,+,pAzA,p.a.s.a,'p/A\.z/(A)\,pro,VERcjg,indpst3,pasar,DOM,passer,,,
51,10,4,10,"Alba, l. 10",bigil,bigil,_,biʤil,b.i.g.i.l,'b/i\.ʤ/i\l,pro,NOMcom,smn,vigil,wiktionary,---,,,
52,10,5,10,"Alba, l. 10",mira,mira,+,mirA,m.i.r.a,'m/i\.r/(A)\,pro,VERcjg,indpst3,mirar,DOM,mirer,,,
53,10,6,10,"Alba, l. 10",clar,clar,_,kLAr,c.l.a.r,kL/A\r,pro,ADVgen,---,clar,DOM,clair,,,
54,10,7,10,"Alba, l. 10",tenebras,tenebras,|,tEnɛbrAS,t.e.n.e.b.r.a.s,t/E\.'n/ɛ\.br/A\S,pro,NOMcom,pfr,tenèbra,DOM,ténèbres,,</l></lg>,
55,11,1,11,"Alba, l. 11",Ab,ab,+,VQ,a.b,/V\Q,lat,ETR,---,---,---,---,,,<lb/><lg type=&quot;stanza&quot; n=&quot;2&quot;><l xml:lang=&quot;lat&quot; n=&quot;11&quot;>
56,11,2,11,"Alba, l. 11",arcturo,arcturo,_,VRQQVRV,a.r.c.t.u.r.o,/V\RQ.'Q/V\.R/V\,lat,ETR,---,---,---,---,,,
57,11,3,11,"Alba, l. 11",disgregat[ur],disgregatur,_,QVQQRVQVQVR,d.i.s.g.r.e.g.a.t.u.r,Q/V\.QQR/V\.'Q/V\.Q/V\R,lat,ETR,---,---,---,---,,,
58,11,4,11,"Alba, l. 11",aquilo,aquilo,;,VQRVLV,a.q.u.i.l.o,'/V\.QR/V\.'L/V\,lat,ETR,---,---,---,---,,</l>,
59,12,1,12,"Alba, l. 12",Poli,poli,+,QVLV,p.o.l.i,'Q/V\.L/V\,lat,ETR,---,---,---,---,,,<l xml:lang=&quot;lat&quot; n=&quot;12&quot;>
60,12,2,12,"Alba, l. 12",suos,suos,_,QVVQ,s.u.o.s,'Q/V\./V\Q,lat,ETR,---,---,---,---,,,
61,12,3,12,"Alba, l. 12",condunt,condunt,_,QVNQVNQ,c.o.n.d.u.n.t,'Q/V\N.Q/V\NQ,lat,ETR,---,---,---,---,,,
62,12,4,12,"Alba, l. 12",astra,astra,_,VQQRV,a.s.t.r.a,'/V\.QQR/V\,lat,ETR,---,---,---,---,,,
63,12,5,12,"Alba, l. 12",radios,radios,|,RVQVVQ,r.a.d.i.o.s,'R/V\.Q/V\.'/V\Q,lat,ETR,---,---,---,---,,</l>,
64,13,1,13,"Alba, l. 13",Orienti,orienti,_,VRVVNQV,o.r.i.e.n.t.i,/V\.R/V\.'/V\N.Q/V\,lat,ETR,---,---,---,---,,,<lb/><l xml:lang=&quot;lat&quot; n=&quot;13&quot;>
65,13,2,13,"Alba, l. 13",tendit[ur],tenditur,_,QVNQVQVR,t.e.n.d.i.t.u.r,'Q/V\N.Q/V\.Q/V\R,lat,ETR,---,---,---,---,,,
66,13,3,13,"Alba, l. 13",septemtrio,septemtrio,;,QVQQVNQRVV,s.e.p.t.e.m.t.r.i.o,Q/V\Q.'Q/V\N.QR/V\.'/V\,lat,ETR,---,---,---,---,,</l>,
67,14,1,14,"Alba, l. 14",L,l,+,L,l,L/\,pro,DETdef,sfn,la,DOM,le,,,<l xml:lang=&quot;pro&quot; n=&quot;14&quot;>
68,14,2,14,"Alba, l. 14",alba,alba,_,ALbA,a.l.b.a,'/A\L.b/(A)\,pro,NOMcom,sfn,alba,DOM,aube,,,
69,14,3,14,"Alba, l. 14",part,part,_,pArT,p.a.r.t,p/A\rT,pro,VERcjg,indpst3,partir,DOM,partir,,,
70,14,4,14,"Alba, l. 14",um[et],umet,_,ymeT,u.m.e.t,'/y\.m/E\T,pro,ADJqua,smr,umezit,DOM,humide,,,
71,14,5,14,"Alba, l. 14",mar,mar,_,mAr,m.a.r,m/A\r,pro,NOMcom,smr,mar,DOM,mer,,,
72,14,6,14,"Alba, l. 14",atra,atra,_,AtrA,a.t.r.a,'/A\.tr/(A)\,pro,VERcjg,indpst3,atraire,DOM,attraire,,,
73,14,7,14,"Alba, l. 14",sol,sol,;,Sol,s.o.l,S/o\l,pro,NOMcom,smr,sól,DOM,---,,</l>,
74,15,1,15,"Alba, l. 15",Po,po,+,pɔ,p.o,p/ɔ\,pro,ADVgen,---,pòis,DOM,puis,,,<l xml:lang=&quot;pro&quot; n=&quot;15&quot;>
75,15,2,15,"Alba, l. 15",y,y,_,i,y,/\i,pro,PRCadv,---,i,DOM,y2,,,
76,15,3,15,"Alba, l. 15",pas_a,pasa,+,pAzA,p.a.s.a,'p/A\.z/(A)\,pro,VERcjg,indpst3,pasar,DOM,passer,,,
77,15,4,15,"Alba, l. 15",bigil,bigil,|,biʤil,b.i.g.i.l,'b/i\.ʤ/i\l,pro,NOMcom,smn,vigil,wiktionary,---,,<supplied reason=&quot;missing&quot;>mira clar tenebras</supplied></l></lg></body></text>,
