wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,phon_map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
1,1,1,---,"EpSEt, heading I",leccio,leccio,,,,_,lat,---,---,---,---,---,,,<text><body xml:lang=&quot;fro&quot;><pb n=&quot;208r&quot; facs=&quot;https://bvmm.irht.cnrs.fr/iiif/31976/canvas/canvas-2796038/view&quot;/><lb/><lg n=&quot;1&quot; type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaa&quot;><head xml:lang=&quot;lat&quot;>
2,1,2,---,"EpSEt, heading I",actuum,actuum,,,,_,lat,---,---,---,---,---,,,
3,1,3,---,"EpSEt, heading I",apostoloru[m],apostolorum,,,,¶,lat,---,---,---,---,---,,</head>,
4,2,1,1,"EpSEt, l. 1",por,por,por,p.o.r,p/o\r,_,fro,PRE,---,pour,DMF,pour,,,<l n=&quot;1&quot;>
5,2,2,1,"EpSEt, l. 1",amor,amor,Amor,a.m.o.r,/A\.'m/o\r,_,fro,NOMcom,smr,amour,DMF,amour,,,
6,2,3,1,"EpSEt, l. 1",de,de,dæ,d.e,d/æ\,_,fro,NOMpro,smr,Dieu,DMF,Dieu,,,
7,2,4,1,"EpSEt, l. 1",uos,vos,voS,v.o.s,v/o\S,_,fro,PRCper,5pmr,vous,DMF,vous,,,
8,2,5,1,"EpSEt, l. 1",pri,pri,pri,p.r.i,pr/i\,_,fro,VERcjg,indpst1,prier,DMF,prier,,,
9,2,6,1,"EpSEt, l. 1",saignos,saignos,SÆɲoS,s.a.ign.o.s,S/Æ\.'ɲ/o\S,_,fro,NOMcom,pmn,seigneur,DMF,seigneur,,,
10,2,7,1,"EpSEt, l. 1",baru[n],barun,bArOn,b.a.r.u.n,b/A\.'r/O\n,.,fro,NOMcom,pmn,baron,DMF,baron,,</l>,
11,3,1,2,"EpSEt, l. 2",Seet,seet,SEɛT,s.e.e.t,S/E\.'/ɛ\T,_,fro,VERcjg,imp---5,seoir,DMF,seoir,,,<l n=&quot;2&quot;>
12,3,2,2,"EpSEt, l. 2",uos,vos,voS,v.o.s,v/o\S,_,fro,PRCper,5pmr,vous,DMF,vous,,,
13,3,3,2,"EpSEt, l. 2",tuít,tuit,tyiT,t.u.i.t,t/y\iT,|,fro,PRNind,pmn,tout,DMF,tout,,,
14,3,4,2,"EpSEt, l. 2",escotet,escotet,ESkotɛT,e.s.c.o.t.e.t,/E\S.k/o\.'t/ɛ\T,_,fro,VERcjg,imp---5,écouter,DMF,écouter,,,<lb/>
15,3,5,2,"EpSEt, l. 2",la,la,LA,l.a,L/(A)\,+,fro,DETdef,sfr,le,DMF,le,,,
16,3,6,2,"EpSEt, l. 2",lecu[n],lecun,LEʦOn,l.e.c.u.n,L/E\.'ʦ/O\n,.,fro,NOMcom,sfr,leçon,DMF,leçon,,</l>,
17,4,1,3,"EpSEt, l. 3",de,de,dE,d.e,d/(E)\,+,fro,PRE,---,de,DMF,de,,,<l n=&quot;3&quot;>
18,4,2,3,"EpSEt, l. 3",saint,saint,SÆiNT,s.a.i.n.t,S/Æ\iNT,_,fro,ADJqua,smr,saint,DMF,saint,,,
19,4,3,3,"EpSEt, l. 3",esteure,estevre,EStɛvrə,e.s.t.e.v.r.e,/E\S.'t/ɛ\.vr/(ə)\,.,fro,NOMpro,smr,Étienne,DMF,Étienne,,,
20,4,4,3,"EpSEt, l. 3",lo,lo,Lo,l.o,L/(o)\,+,fro,DETdef,smr,le,DMF,le,,,
21,4,5,3,"EpSEt, l. 3",glorius,glorius,glorioS,g.l.o.r.i.u.s,gl/o\.r/i\.'/o\S,_,fro,ADJqua,smr,glorieux,DMF,glorieux,,,
22,4,6,3,"EpSEt, l. 3",baru[n],barun,bArOn,b.a.r.u.n,b/A\.'r/O\n,.,fro,NOMcom,smr,baron,DMF,baron,,</l>,
23,5,1,4,"EpSEt, l. 4",escotet,escotet,ESkotɛT,e.s.c.o.t.e.t,/E\S.k/o\.'t/ɛ\T,_,fro,VERcjg,imp---5,écouter,DMF,écouter,,,<l n=&quot;4&quot;>
24,5,2,4,"EpSEt, l. 4",la,la,LA,l.a,L/(A)\,_,fro,PRCper,3sfa,le,DMF,le,,,
25,5,3,4,"EpSEt, l. 4",par,par,pAr,p.a.r,p/A\r,_,fro,PRE,---,par,DMF,par,,,
26,5,4,4,"EpSEt, l. 4",be[n]ne[n],bennen,bEnÆn,b.e.nn.e.n,b/E\.'n/Æ\n,_,fro,ADJqua,sfr,bénin,DMF,bénin,,,
27,5,5,4,"EpSEt, l. 4",ente[n]ciu[n],entenciun,ÆNtÆNʦiOn,e.n.t.e.n.c.i.u.n,/Æ\N.t/Æ\N.ʦ/i\.'/O\n,;|,fro,NOMcom,sfr,entention,DMF,entention,,</l>,
28,6,1,5,"EpSEt, l. 5",q[u]i,qui,ki,qu.i,k/i\,_,fro,PRNrel,smn,qui,DMF,qui,,,<lb/><l n=&quot;5&quot;>
29,6,2,5,"EpSEt, l. 5",a,a,A,a,/A\,+,fro,PRE,---,à,DMF,à,,,
30,6,3,5,"EpSEt, l. 5",ce,ce,ÇE,c.e,Ç/E\,+,fro,DETdem,smr,ce2,DMF,ce2,,,
31,6,4,5,"EpSEt, l. 5",ior,jor,ʤor,j.o.r,ʤ/o\r,_,fro,NOMcom,smr,jour,DMF,jour,,,
32,6,5,5,"EpSEt, l. 5",recut,recut,rEʦyð,r.e.c.u.t,r/E\.'ʦ/y\ð,_,fro,VERcjg,indpsp3,recevoir,DMF,recevoir,,,
33,6,6,5,"EpSEt, l. 5",sa,sa,SA,s.a,S/(A)\,+,fro,DETpos,3sfr,son4,DMF,son4,,,
34,6,7,5,"EpSEt, l. 5",pasiu[n],pasiun,pAsiOn,p.a.s.i.u.n,p/A\.s/i\.'/O\n,.,fro,NOMcom,sfr,passion,DMF,passion,,</l></lg>,
35,7,1,---,"EpSEt, heading II",In,in,,,,+,lat,---,---,---,---,---,,,<lg n=&quot;2&quot; type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaa&quot;><head xml:lang=&quot;lat&quot;>
36,7,2,---,"EpSEt, heading II",diebus,diebus,,,,_,lat,---,---,---,---,---,,,
37,7,3,---,"EpSEt, heading II",illis,illis,,,,¶,lat,---,---,---,---,---,,,
38,7,4,---,"EpSEt, heading II",Stephan[us],stephanus,,,,¶,lat,---,---,---,---,---,,</head>,
39,8,1,6,"EpSEt, l. 6",Seint,seint,SÆiNT,s.e.i.n.t,S/Æ\iNT,_,fro,ADJqua,smn,saint,DMF,saint,,,<l n=&quot;6&quot;>
40,8,2,6,"EpSEt, l. 6",esteures,estevres,EStɛvrəS,e.s.t.e.v.r.e.s,/E\S.'t/ɛ\.vr/ə\S,_,fro,NOMpro,smn,Étienne,DMF,Étienne,,,
41,8,3,6,"EpSEt, l. 6",fut,fut,fyð,f.u.t,f/y\ð,_,fro,VERcjg,indpsp3,être,DMF,être,,,
42,8,4,6,"EpSEt, l. 6",plaíns,plains,pLÆiNS,p.l.a.i.n.s,pL/Æ\iNS,|,fro,ADJqua,smn,plein,DMF,plein,,,
43,8,5,6,"EpSEt, l. 6",de,de,dE,d.e,d/(E)\,_,fro,PRE,---,de,DMF,de,,,<lb/>
44,8,6,6,"EpSEt, l. 6",gra[n]t,grant,grÆNT,g.r.a.n.t,gr/Æ\NT,_,fro,ADJqua,sfr,grand,DMF,grand,,,
45,8,7,6,"EpSEt, l. 6",bo[n]te,bonte,bONtæ,b.o.n.t.e,b/O\N.'t/æ\,.,fro,NOMcom,sfr,bonté,DMF,bonté,,</l>,
46,9,1,7,"EpSEt, l. 7",e[n]ma[=ama],ama,Ama,a.m.a,/A\.'m/a\,_,fro,VERcjg,indpsp3,aimer,DMF,aimer,,,<l n=&quot;7&quot;>
47,9,2,7,"EpSEt, l. 7",tot,tot,toT,t.o.t,t/o\T,_,fro,DETind,pmr,tout,DMF,tout,,,
48,9,3,7,"EpSEt, l. 7",cels,cels,ÇeLS,c.e.l.s,Ç/e\LS,_,fro,PRNdem,pmr,cil,DMF,cil,,,
49,9,4,7,"EpSEt, l. 7",qui,qui,ki,qu.i,k/i\,_,fro,PRNrel,pmn,qui,DMF,qui,,,
50,9,5,7,"EpSEt, l. 7",creínent,creinent,krÆinəNT,c.r.e.i.n.e.n.t,'kr/Æ\i.n/ə\NT,_,fro,VERcjg,indpsp6,croire,DMF,croire,,,
51,9,6,7,"EpSEt, l. 7",en,en,Æn,e.n,/Æ\n,+,fro,PRE,---,en,DMF,en,,,
52,9,7,7,"EpSEt, l. 7",de,de,dæ,d.e,d/æ\,_,fro,NOMpro,smr,Dieu,DMF,Dieu,,</l>,
53,10,1,8,"EpSEt, l. 8",feseit,feseit,fEzEiT,f.e.s.e.i.t,f/E\.'z/E\iT,_,fro,VERcjg,indipf3,faire,DMF,faire,,,<l n=&quot;8&quot;>
54,10,2,8,"EpSEt, l. 8",miracles,miracles,mirakLəS,m.i.r.a.c.l.e.s,m/i\.'r/a\.kL/ə\S,_,fro,NOMcom,pmr,miracle,DMF,miracle,,,
55,10,3,8,"EpSEt, l. 8",o,o,o,o,/o\,+,fro,PRE,---,en,DMF,en,,,
56,10,4,8,"EpSEt, l. 8",non,non,nOn,n.o.n,n/O\n,_,fro,NOMcom,smr,nom,DMF,nom,,,
57,10,5,8,"EpSEt, l. 8",de,de,dE,d.e,d/(E)\,+,fro,PRE,---,de,DMF,de,,,
58,10,6,8,"EpSEt, l. 8",de[m]mede,demmede,dÆmEdæ,d.e.mm.e.d.e,d/Æ\.m/E\.'d/æ\,.|,fro,NOMpro,smr,Damedieu,DMF,Damedieu,,</l>,
59,11,1,9,"EpSEt, l. 9",a,a,A,a,/A\,+,fro,PRE,---,à,DMF,à,,,<lb/><l n=&quot;9&quot;>
60,11,2,9,"EpSEt, l. 9",s,s,S,s,/\S,+,fro,DETdef,pmr,le,DMF,le,,,
61,11,3,9,"EpSEt, l. 9",cu[n]trat,cuntrat,kONtraT,c.u.n.t.r.a.t,k/O\N.'tr/a\T,_,fro,NOMcom,pmr,contrait,DMF,contrait,,,
62,11,4,9,"EpSEt, l. 9",[et],et,e,et,/e\,_,fro,CONcoo,---,et,DMF,et,,,
63,11,5,9,"EpSEt, l. 9",a,a,A,a,/A\,+,fro,PRE,---,à,DMF,à,,,
64,11,6,9,"EpSEt, l. 9",u[=s],s,S,s,/\S,+,fro,DETdef,pmr,le,DMF,le,,,
65,11,7,9,"EpSEt, l. 9",ces,ces,ÇɛS,c.e.s,Ç/ɛ\S,_,fro,NOMcom,pmr,cieu,DMF,cieu,,,
66,11,8,9,"EpSEt, l. 9",a,a,A,a,/A\,+,fro,PRE,---,à,DMF,à,,,
67,11,9,9,"EpSEt, l. 9",tot,tot,toT,t.o.t,t/o\T,_,fro,PRNind,pmr,tout,DMF,tout,,,
68,11,10,9,"EpSEt, l. 9",dona,dona,dOna,d.o.n.a,d/O\.'n/a\,_,fro,VERcjg,indpsp3,donner,DMF,donner,,,
69,11,11,9,"EpSEt, l. 9",sa[n]te,sante,SÆNtæ,s.a.n.t.e,S/Æ\N.'t/æ\,;,fro,NOMcom,sfr,santé,DMF,santé,,</l>,
70,12,1,10,"EpSEt, l. 10",por,por,por,p.o.r,p/o\r,+,fro,PRE,---,pour,DMF,pour,,,<l n=&quot;10&quot;>
71,12,2,10,"EpSEt, l. 10",ce,ce,ÇE,c.e,Ç/E\,_,fro,PRNdem,snr,ce,DMF,ce,,,
72,12,3,10,"EpSEt, l. 10",haiere[n]t,haierent,hAiærəNT,h.a.i.e.r.e.n.t,h/A\i.'/æ\.r/ə\NT,_,fro,VERcjg,indpsp6,haïr,DMF,haïr,,,
73,12,4,10,"EpSEt, l. 10",aute[n]s,autens,AutÆNS,a.u.t.e.n.s,/A\u.'t/Æ\NS,_,fro,ADVgen,---,autant,DMF,autant,,,
74,12,5,10,"EpSEt, l. 10",li,li,Li,l.i,L/i\,+,fro,DETdef,pmn,le,DMF,le,,,
75,12,6,10,"EpSEt, l. 10",íue,jue,ʤyæ,j.u.e,ʤ/y\.'/æ\,¶,fro,NOMcom,pmn,juif,DMF,juif,,</l></lg>,
76,13,1,---,"EpSEt, heading III",Surreserunt,surreserunt,,,,.|¶,lat,---,---,---,---,---,,</head>,<lg n=&quot;3&quot; type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaa&quot;><head xml:lang=&quot;lat&quot;>
77,14,1,11,"EpSEt, l. 11",enco[n]tre,encontre,ÆNkONtrə,e.n.c.o.n.t.r.e,/Æ\N.'k/O\N.tr/(ə)\,+,fro,PRE,---,encontre,DMF,encontre,,,<lb/><l n=&quot;11&quot;>
78,14,2,11,"EpSEt, l. 11",luí,lui,Lyi,l.u.i,L/y\i,_,fro,PRNper,3smr,lui,DMF,lui,,,
79,14,3,11,"EpSEt, l. 11",se,se,SE,s.e,S/E\,+,fro,ADVgen,---,si4,DMF,si4,,,
80,14,4,11,"EpSEt, l. 11",s,s,S,s,/\S,_,fro,PRCper,6pmr,se,DMF,se,,,
81,14,5,11,"EpSEt, l. 11",drecerent,drecerent,drEʦærəNT,d.r.e.c.e.r.e.n.t,dr/E\.'ʦ/æ\.r/ə\NT,_,fro,VERcjg,indpsp6,dresser,DMF,dresser,,,
82,14,6,11,"EpSEt, l. 11",trestuít,trestuit,trEStyiT,t.r.e.s.t.u.i.t,tr/E\S.'t/y\iT,.,fro,PRNind,pmn,trèstout,DMF,trèstout,,</l>,
