wd_id,line_id,linewd,dipl,wd_div,word,phon,phon_map,syllabified,lang,pos,pos_syn,morph,penn_pos,syntag,syntag2,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
149,19,3,licéncia,_,licencia,LiʦENÇiA,l.i.c.e.n.c.i.a,L/i\.'ʦ/E\N.Çi/(A)\,pro,NOMcom,NOMcom,sfr,NCS,N,N,leisénsa,DOM,licence,"Boeci, l. 19",,
150,19,4,ia,_,ja,ʤA,j.a,ʤ/A\,pro,ADVgen,ADVgen,,ADV,Adv,Adv,ja,DOM,jà,"Boeci, l. 19",,
151,19,5,no[n],_,non,nOn,n.o.n,n/O\n,pro,ADVneg,ADVneg,,NEG,Neg,Neg$$,nóN,DOM,ne,"Boeci, l. 19",,
152,19,6,faran,_,faran,fArAn,f.a.r.a.n,f/A\.'r/A\n,pro,VERcjg,VERcjg,indfut6,VJ,Vfin,Vfin,faire,DOM,faire,"Boeci, l. 19",,
153,19,7,torm[en]t,;,torment,tOrmENT,t.o.r.m.e.n.t,t/O\r.'m/E\NT,pro,NOMcom,NOMcom,smr,NCS,N,N,tormén,DOM,tourment,"Boeci, l. 19",</l></lg>,
154,20,1,En(s),_,en,EN,e.n,/E\N,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 20",,<lg n=&quot;3&quot; type=&quot;laisse&quot; met=&quot;decasyllable&quot;><l n=&quot;20&quot;>
155,20,2,anzs,.,anzs,ANÇ,a.n.zs,/A\NÇ,pro,ADVgen,ADVgen,,ADV,PrA,PrA,anz,DOM,ains,"Boeci, l. 20",,
156,20,3,en,|,en,EN,e.n,/E\N,pro,PRE,PRE,,P,Pre,Pre,én,DOM,en,"Boeci, l. 20",,
157,20,4,dies,.,dies,diES,d.i.e.s,'d/<i>\./E\S,pro,NOMcom,NOMcom,pxr,NCPL,N,N,dia,DOM,di,"Boeci, l. 20",,<lb/>
158,20,5,foren,.,foren,forEn,f.o.r.e.n,'f/o\.r/E\n,pro,VERcjg,VERcjg,indpsp6,VJ,Vfin,Vfin,èser,DOM,être,"Boeci, l. 20",,
159,20,6,ome,.,ome,OmE,o.m.e,'/O\.m/(E)\,pro,NOMcom,NOMcom,pmn,NCPL,N,N,óme,DOM,homme,"Boeci, l. 20",,
160,20,7,fello,;,fello,fELLo,f.e.l.l.o,f/E\L.'L/o\,pro,ADJqua,ADJqua,pmn,ADJ,Adj,Adj,felóN,DOM,félon,"Boeci, l. 20",</l>,
161,21,1,mal,_,mal,mAl,m.a.l,m/A\l,pro,ADJqua,ADJqua,pmn,ADJ,Adj,Adj,mal,DOM,mal2,"Boeci, l. 21",,<l n=&quot;21&quot;>
162,21,2,ome,_,ome,OmE,o.m.e,'/O\.m/(E)\,pro,NOMcom,NOMcom,pmn,NCPL,N,N,óme,DOM,homme,"Boeci, l. 21",,
163,21,3,foren,.,foren,forEn,f.o.r.e.n,'f/o\.r/E\n,pro,VERcjg,VERcjg,indpsp6,VJ,Vfin,Vfin,èser,DOM,être,"Boeci, l. 21",,
164,21,4,aora,_,aora,AorA,a.o.r.a,/A\.'/o\.r/(A)\,pro,ADVgen,ADVgen,,ADV,Adv,Adv,aór,DOM,or2,"Boeci, l. 21",,
165,21,5,sunt,|,sunt,SONT,s.u.n.t,S/O\NT,pro,VERcjg,VERcjg,indpst6,VJ,Vfin,Vfin,èser,DOM,être,"Boeci, l. 21",,
