wd_id,line_id,linewd,dipl,wd_div,word,phon,phon_map,syllabified,lang,pos,pos_syn,morph,penn_pos,syntag,syntag2,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
35,5,6,no,+,no,no,n.o,n/o\,pro,ADVneg,ADVneg,,NEG,Neg,Neg$$,nóN,DOM,ne,"Boeci, l. 5",,
36,5,7,murem,_,murem,mOrEm,m.u.r.e.m,m/O\.'r/E\m,pro,VERcjg,VERcjg,indpst4,VJ,Vfin,Vfin,morir,DOM,mourir,"Boeci, l. 5",,
37,5,8,de,+,de,dE,d.e,d/(E)\,pro,PRE,PRE,,P,Pre,Pre,de,DOM,de,"Boeci, l. 5",,
38,5,9,fam,_,fam,fAm,f.a.m,f/A\m,pro,NOMcom,NOMcom,sfr,NCS,N,N,fam,DOM,faim,"Boeci, l. 5",</l>,
39,6,1,per,+,per,pEr,p.e.r,p/E\r,pro,PRE,PRE,,P,Pre,Pre,pér,DOM,par,"Boeci, l. 6",,<l n=&quot;6&quot;>
40,6,2,cui,_,cui,kyi,c.u.i,k/y\i,pro,PRNrel,PRNrel,smr,WPRO,Qux,Qux,qui,DOM,qui,"Boeci, l. 6",,
41,6,3,salu,+,salv,SALF,s.a.l.v,S/A\LF,pro,ADJqua,ADJqua,pmn,ADJ,Adj,Adj,sal3,DOM,sauf,"Boeci, l. 6",,
42,6,4,esmes,_,esmes,ɛSmES,e.s.m.e.s,'/ɛ\S.m/E\S,pro,VERcjg,VERcjg,indpst4,VJ,Vfin,Vfin,èser,DOM,être,"Boeci, l. 6",,
43,6,5,per,+,per,pEr,p.e.r,p/E\r,pro,PRE,PRE,,P,Pre,Pre,pér,DOM,par,"Boeci, l. 6",,
44,6,6,pur,_,pur,pyr,p.u.r,p/y\r,pro,ADVgen,ADVgen,,ADV,Adv,Adv,pur,DOM,,"Boeci, l. 6",,
45,6,7,tan,|,tan,tAn,t.a.n,t/A\n,pro,ADVgen,ADVgen,,Q,QIs,QIs,tan,DOM,tant,"Boeci, l. 6",,
46,6,8,que,+,que,ke,qu.e,k/(e)\,pro,CONsub,CONsub,,CONJS,Sub,Sub,que2,DOM,que,"Boeci, l. 6",,<lb/>
47,6,9,ll,_,ll,LL,l.l,/\LL,pro,PRCper,PRCper,3sma,PRO,Prn,Prn$$,lo3,DOM,le,"Boeci, l. 6",,
48,6,10,clamam,.,clamam,kLAmAm,c.l.a.m.a.m,kL/A\.'m/A\m,pro,VERcjg,VERcjg,indpst4,VJ,Vfin,Vfin,clamar,DOM,clamer,"Boeci, l. 6",</l></lg>,
49,7,1,Nos,_,nos,noS,n.o.s,n/o\S,pro,PRNper,PRNper,4pmn,PRO,Prn,Prn,nós,DOM,nous,"Boeci, l. 7",,<lg n=&quot;2&quot; type=&quot;laisse&quot; met=&quot;decasyllable&quot;><l n=&quot;7&quot;>
50,7,2,ioue,_,jove,ʤovE,j.o.v.e,'ʤ/o\.v/(E)\,pro,ADJqua,ADJqua,pmn,ADJ,Adj,Adj,jóveN,DOM,jeune,"Boeci, l. 7",,
51,7,3,omne,_,omne,OmnE,o.m.n.e,'/O\m.n/(E)\,pro,NOMcom,NOMcom,pmn,NCPL,N,N,óme,DOM,homme,"Boeci, l. 7",,
52,7,4,menam,_,menam,mEnAm,m.e.n.a.m,m/E\.'n/A\m,pro,VERcjg,VERcjg,indpst4,VJ,Vfin,Vfin,menar,DOM,mener,"Boeci, l. 7",,
53,7,5,ta,+,ta,tA,t.a,t/A\,pro,ADVgen,ADVgen,,Q,QIs,QIs,tan,DOM,tant,"Boeci, l. 7",,
54,7,6,mal,_,mal,mAl,m.a.l,m/A\l,pro,ADJqua,ADJqua,smr,ADJ,Adj,Adj,mal,DOM,mal2,"Boeci, l. 7",,
55,7,7,iouent,_,jovent,ʤOvENT,j.o.v.e.n.t,ʤ/O\.'v/E\NT,pro,NOMcom,NOMcom,smr,NCS,N,N,jovént,DOM,jeune,"Boeci, l. 7",</l>,
56,8,1,que,|,que,ke,qu.e,k/(e)\,pro,CONsub,CONsub,,CONJS,Sub,Sub,que2,DOM,que,"Boeci, l. 8",,<l n=&quot;8&quot;>
57,8,2,us,_,us,yS,u.s,/y\S,pro,PRNind,PRNind,smn,PRO,QIs,QIs,uN,DOM,un,"Boeci, l. 8",,<lb/>
58,8,3,non,+,non,nOn,n.o.n,n/O\n,pro,ADVneg,ADVneg,,NEG,Neg,Neg$$,nóN,DOM,ne,"Boeci, l. 8",,
59,8,4,o,+,o,o,o,/o\,pro,PRCdem,PRCdem,snr,PRO,Prn,Prn$$,ó2,DOM,,"Boeci, l. 8",,
60,8,5,preza,_,preza,prɛʣA,p.r.e.z.a,'pr/ɛ\.ʣ/(A)\,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,prezar,DOM,priser,"Boeci, l. 8",,
61,8,6,si,+,si,Si,s.i,S/<i>\,pro,CONsub,CONsub,,CONJS,Sub,Sub,si,DOM,si3,"Boeci, l. 8",,
62,8,7,s,_,s,S,s,/\S,pro,PRCper,PRCper,3smr,PRO,Prn,Prn$$,sé,DOM,se,"Boeci, l. 8",,
63,8,8,trada,_,trada,trAdA,t.r.a.d.a,'tr/A\.d/(A)\,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,tradar,DOM,,"Boeci, l. 8",,
64,8,9,so[n],+,son,SOn,s.o.n,S/O\n,pro,DETpos,DETpos,3smr,DZ,Det,Det,sóN2,DOM,son4,"Boeci, l. 8",,
65,8,10,parent,_,parent,pArENT,p.a.r.e.n.t,p/A\.'r/E\NT,pro,NOMcom,NOMcom,smr,NCS,N,N,parén,DOM,parent,"Boeci, l. 8",</l>,
66,9,1,senor,_,senor,SEɲor,s.e.n.o.r,S/E\.'ɲ/o\r,pro,NOMcom,NOMcom,smr,NCS,N,N,senhór,DOM,seigneur,"Boeci, l. 9",,<l n=&quot;9&quot;>
67,9,2,ni,+,ni,ni,n.i,n/<i>\,pro,CONcoo,CONcoo,,CONJO,Crd,Crd,ni,DOM,ne2,"Boeci, l. 9",,
68,9,3,par,_,par,pAr,p.a.r,p/A\r,pro,NOMcom,NOMcom,smr,NCS,N,N,par,DOM,pair,"Boeci, l. 9",,
69,9,4,si,+,si,Si,s.i,S/<i>\,pro,CONsub,CONsub,,CONJS,Sub,Sub,si,DOM,si3,"Boeci, l. 9",,
70,9,5,ll,_,ll,LL,l.l,/\LL,pro,PRCper,PRCper,3sma,PRO,Prn,Prn$$,lo3,DOM,le,"Boeci, l. 9",,
71,9,6,mena,|,mena,menA,m.e.n.a,'m/e\.n/(A)\,pro,VERcjg,VERcjg,indpst3,VJ,Vfin,Vfin,menar,DOM,mener,"Boeci, l. 9",,
72,9,7,mala_ment,_,malament,mAlAmENT,m.a.l.a.m.e.n.t,m/A\.l/A\.'m/E\NT,pro,ADVgen,ADVgen,,ADV,Adv,Adv,malamen,DOM,malement,"Boeci, l. 9",</l>,<lb/>
73,10,1,ni,_,ni,ni,n.i,n/<i>\,pro,CONcoo,CONcoo,,CONJO,Crd,Crd,ni,DOM,ne2,"Boeci, l. 10",,<l n=&quot;10&quot;>
74,10,2,l,_,l,L,l,L/\,pro,DETdef,DETdef,smn,D,Det,Det,lo2,DOM,le,"Boeci, l. 10",,
75,10,3,us,_,us,ys,u.s,/y\s,pro,PRNind,PRNind,smn,PRO,QIs,QIs,uN,DOM,un,"Boeci, l. 10",,
76,10,4,uel,_,vel,vɛl,v.e.l,v/ɛ\l,pro,PRE,PRE,,P,PrA,PrA,vas2,DOM,vers2,"Boeci, l. 10",,
77,10,5,l,+,l,L,l,L/\,pro,DETdef,DETdef,smr,D,Det,Det,lo2,DOM,le,"Boeci, l. 10",,
