wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,textlineid,ref,phil_note,tei_right,tei_left
203,44,1,qu,qu,+,k,qu,pro,CONsub,,,que2,DOM,,43,"VersSMarie, l. 43",,,<l n=&quot;43&quot;>
204,44,2,e,e,+,E,e,pro,PRE,,,én,DOM,,43,"VersSMarie, l. 43",,,
205,44,3,u,u,+,u,u,pro,DETdef,,smr,lo2,DOM,,43,"VersSMarie, l. 43",,,
206,44,4,poi,poi,–,pɔi,p.o.i,pro,NOMcom,,smr,pòg,DOM,,43,"VersSMarie, l. 43",,,
207,44,5,de,de,+,dE,d.e,pro,PRE,,,de,DOM,,43,"VersSMarie, l. 43",,,
208,44,6,galilea,galilea,–,gAlilEA,g.a.l.i.l.e.a,pro,NOMpro,,sfr,Galilée,,,43,"VersSMarie, l. 43",,</l>,
209,45,1,uiu,viu,_,viu,v.i.u,pro,ADJqua,,smr,viu,DOM,,44,"VersSMarie, l. 44",,,<l n=&quot;44&quot;>
210,45,2,lo,lo,+,LO,l.o,pro,PRCper,,3smr,lo3,DOM,,44,"VersSMarie, l. 44",,,
211,45,3,uerem,verem,_,vErEm,v.e.r.e.m,pro,VERcjg,,indfut4,vezér,DOM,,44,"VersSMarie, l. 44",,,
212,45,4,an–|gera,angera,_,ANgɛrA,a.n.g.e.r.a,pro,ADVgen,,,ancar,DOM,,44,"VersSMarie, l. 44",,</l></lg>,
213,46,1,Vida,vida,_,vidA,v.i.d.a,pro,NOMcom,,sfn,vida,DOM,,45,"VersSMarie, l. 45",,,<lb/><lg n=&quot;12&quot; type=&quot;stanza&quot; rhyme=&quot;aabb&quot;><l n=&quot;45&quot;>
214,46,2,qui,qui,_,ki,qu.i,pro,PRNrel,,sfn,qui,DOM,,45,"VersSMarie, l. 45",,,
215,46,3,mort,mort,_,mɔrT,m.o.r.t,pro,NOMcom,,sfr,mòrt,DOM,,45,"VersSMarie, l. 45",,,
216,46,4,aucis,aucis,–,AusiS,a.u.c.i.s,pro,VERcjg,,indpsp3,aucire,DOM,,45,"VersSMarie, l. 45",,</l>,
217,47,1,nos,nos,–,nOS,n.o.s,pro,PRCper,,4pmr,nós,DOM,,46,"VersSMarie, l. 46",,,<l n=&quot;46&quot;>
218,47,2,donet,donet,_,dOnɛT,d.o.n.e.t,pro,VERcjg,,indpsp3,donar,DOM,,46,"VersSMarie, l. 46",,,
219,47,3,paradis,paradis,–,pArAdiS,p.a.r.a.d.i.s,pro,NOMcom,,smr,paradis,DOM,,46,"VersSMarie, l. 46",,</l>,
220,48,1,gloria,gloria,_,gLOriA,g.l.o.r.i.a,pro,NOMcom,,sfr,gloria,DOM,,47,"VersSMarie, l. 47",,,<l n=&quot;47&quot;>
221,48,2,aisamen,aisamen,_,AisAmEn,a.i.s.a.m.e.n,pro,ADVgen,,,aisamen,DOM,,47,"VersSMarie, l. 47",,</l>,
222,49,1,nos,nos,–|,nOS,n.o.s,pro,PRCper,,4pmr,nós,DOM,,48,"VersSMarie, l. 48",,,<l n=&quot;48&quot;>
223,49,2,do,do,–,do,d.o,pro,VERcjg,,subpst3,donar,DOM,,48,"VersSMarie, l. 48",,,<lb/>
224,49,3,deus,deus,_,dɛuS,d.e.u.s,pro,NOMpro,,smn,dèu,DOM,,48,"VersSMarie, l. 48",,,
225,49,4,ueramen,veramen,–,vErAmEn,v.e.r.a.m.e.n,pro,ADVgen,,,veramén,DOM,,48,"VersSMarie, l. 48",,</l></lg></body></text>,
