wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,ety_map,lang,textlineid,pos,pos_ogr,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
1,1,1,SPONS[US],sponsus,.,,,,,lat,---,NOUN,---,---,sponsus,wiktionary,---,"Spons, f. 53r, rubric",,</docTitle></front>,<text><front><pb n=&quot;53r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f113.item&quot;/><lb/><docTitle>
2,2,1,Ad–est,adest,–,VQVQQ,a.d.e.s.t,'/V\.Q/V\QQ,,lat,1,VERB,---,---,assum,wiktionary,---,"Spons, l. 1",,,<body xml:lang=&quot;pro&quot;><prologue><sp><lg xml:lang=&quot;lat&quot; type=&quot;couplet&quot; met=&quot;4+4+7pp&quot; rhyme=&quot;aa&quot;><l n=&quot;1&quot;>
3,2,2,spo[n]sus,sponsus,–|,QQVNQVQ,s.p.o.n.s.u.s,'QQ/V\N.Q/V\Q,,lat,1,NOUN,---,---,sponsus,wiktionary,---,"Spons, l. 1",,,
4,2,3,qui,qui,_,QRV,q.u.i,QR/V\,,lat,1,PRON,---,---,qui,wiktionary,---,"Spons, l. 1",,,<pb n=&quot;53v&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f114.item&quot;/><lb/>
5,2,4,est,est,–,VQQ,e.s.t,/V\QQ,,lat,1,VERB,---,---,sum,wiktionary,---,"Spons, l. 1",,,
6,2,5,christus,christus,–,QRVQQVQ,ch.r.i.s.t.u.s,'QR/V\Q.Q/V\Q,,lat,1,PROPN,---,---,Christus,wiktionary,---,"Spons, l. 1",,,
7,2,6,uigilate,vigilate,–,QVQVLVQV,v.i.g.i.l.a.t.e,Q/V\.Q/V\.'L/V\.Q/V\,,lat,1,VERB,---,---,vigilo,wiktionary,---,"Spons, l. 1",,,
8,2,7,uirgines,virgines,–,QVRQVNVQ,v.i.r.g.i.n.e.s,'Q/V\R.Q/V\.'N/V\Q,,lat,1,NOUN,---,---,virgo,wiktionary,---,"Spons, l. 1",,</l>,
9,3,1,p[ro],pro,+,QRV,p.r.o,QR/V\,,lat,2,ADP,---,---,pro,wiktionary,---,"Spons, l. 2",,,<l n=&quot;2&quot;>
10,3,2,aduentu,adventu,–,VQQVNQV,a.d.v.e.n.t.u,/V\Q.'Q/V\N.Q/V\,,lat,2,NOUN,---,---,adventus,wiktionary,---,"Spons, l. 2",,,
11,3,3,cui[us],cuius,–,QVRVQ,c.u.i.u.s,'Q/V\.R/V\Q,,lat,2,PRON,---,---,qui,wiktionary,---,"Spons, l. 2",,,
12,3,4,gaudent,gaudent,–,QVQVNQ,g.au.d.e.n.t,'Q/V\.Q/V\NQ,,lat,2,VERB,---,---,gaudeo,wiktionary,---,"Spons, l. 2",,,
13,3,5,[et],et,+,VQ,e.t,/V\Q,,lat,2,CCONJ,---,---,et,wiktionary,---,"Spons, l. 2",,,
14,3,6,gaude–|bunt,gaudebunt,–,QVQVQVNQ,g.au.d.e.b.u.n.t,Q/V\.'Q/V\.Q/V\NQ,,lat,2,VERB,---,---,gaudeo,wiktionary,---,"Spons, l. 2",,,
15,3,7,homines,homines,–,QVNVNVQ,h.o.m.i.n.e.s,'Q/V\.N/V\.'N/V\Q,,lat,2,NOUN,---,---,homo,wiktionary,---,"Spons, l. 2",,</l></lg>,<lb/>
