wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_right,tei_left
79,10,7,fradre,fradre,frAðrə,f.r.a.d.r.e,'fr/A\.ðr/(ə)\,|,frère,DMF,frère,NOMcom,NOMcom,smr,"Serments, 13r, col. b, l. 12",,
80,11,1,karle,karle,kArLə,k.a.r.l.e,'k/A\r.L/(ə)\,_,Charles,---,,NOMpro,NOMpro,smr,"Serments, 13r, col. b, l. 13",,<lb n=&quot;13&quot;/>
81,11,2,in,in,EN,i.n,/E\N,_,en,DMF,en,PRE,PRE,,"Serments, 13r, col. b, l. 13",,
82,11,3,damno,damno,dAmnə,d.a.m.n.o,'d/A\m.n/(ə)\,_,dam,DMF,dam,NOMcom,NOMcom,smr,"Serments, 13r, col. b, l. 13",,
83,11,4,sit,sit,seT,s.i.t,s/e\T,.,être,DMF,être,VERcjg,VERcjg,subpst3,"Serments, 13r, col. b, l. 13",</s></q></p>,
84,11,5,Quod,quod,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 13",,<p><s xml:lang=&quot;lat&quot;>
85,11,6,cu[m],cum,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 13",,
86,11,7,lodhuuic[us],lodhuuicus,,,,|,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 13",,
87,12,1,expless[et],explesset,,,,.,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 14",,<lb n=&quot;14&quot;/>
88,12,2,karolus,karolus,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 14",,
89,12,3,teudis_ca,teudisca,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 14",,
90,12,4,lingua,lingua,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 14",,
91,12,5,sic,sic,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 14",,
92,12,6,hęc,hec,,,,|,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 14",,
93,13,1,eade[m],eadem,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 15",,<lb n=&quot;15&quot;/>
94,13,2,uerba,verba,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 15",,
95,13,3,testatus,testatus,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 15",,
96,13,4,est,est,,,,.|,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 15",</s></p>,
97,14,1,In,in,,,,+,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,<lb n=&quot;16&quot;/><p><q><s xml:lang=&quot;goh&quot;>
98,14,2,godes,godes,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 16",,
