wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_right,tei_left
188,28,4,n[on],non,nON,n.o.n,n/O\N,_,ne,DMF,ne,ADVneg,ADVneg,,"Serments, 13r, col. b, l. 30",,
189,28,5,lo,lo,Lo,l.o,L/o\,+,le,DMF,le,PRCper,PRCper,3sma,"Serments, 13r, col. b, l. 30",,
190,28,6,s,s,S,s,/\S,+,se,DMF,se,PRCper,PRCper,3smr,"Serments, 13r, col. b, l. 30",,
191,28,7,tanit,tanit,tAnəT,t.a.n.i.t,'t/A\.n/ə\T,.,tenir,DMF,tenir,VERcjg,VERcjg,indpst3,"Serments, 13r, col. b, l. 30",,
192,28,8,si,si,Si,s.i,S/i\,_,si3,DMF,si3,CONsub,CONsub,,"Serments, 13r, col. b, l. 30",,
193,28,9,io,io,eu,i.o,/e\u,+,je,DMF,je,PRNper,PRNper,1smn,"Serments, 13r, col. b, l. 30",,
194,28,10,returnar,returnar,rEtornAr,r.e.t.u.r.n.a.r,r/E\.t/o\r.'n/A\r,_,retourner,DMF,retourner,VERinf,VERinf,,"Serments, 13r, col. b, l. 30",,
195,28,11,non,non,nON,n.o.n,n/O\N,|,ne,DMF,ne,ADVneg,ADVneg,,"Serments, 13r, col. b, l. 30",,
196,29,1,l,l,L,l,L/\,+,le,DMF,le,PRCper,PRCper,3sma,"Serments, 13r, col. b, l. 31",,<lb n=&quot;31&quot;/>
197,29,2,int,int,ENT,i.n.t,/E\NT,_,en2,DMF,en2,PRCadv,PRCadv,,"Serments, 13r, col. b, l. 31",,
198,29,3,pois,pois,pOiS,p.o.i.s,p/O\iS,.,pouvoir2,DMF,pouvoir2,VERcjg,VERcjg,indpst1,"Serments, 13r, col. b, l. 31",,
199,29,4,ne,ne,nE,n.e,n/E\,+,ne2,DMF,ne2,CONcoo,CONcoo,,"Serments, 13r, col. b, l. 31",,
200,29,5,io,io,eu,i.o,/e\u,_,je,DMF,je,PRNper,PRNper,1smn,"Serments, 13r, col. b, l. 31",,
201,29,6,ne,ne,nE,n.e,n/E\,+,ne2,DMF,ne2,CONcoo,CONcoo,,"Serments, 13r, col. b, l. 31",,
202,29,7,neuls,neuls,nEyLS,n.e.u.l.s,n/E\.'/y\LS,_,nul,DMF,nul,PRNind,PRNind,smn,"Serments, 13r, col. b, l. 31",,
203,29,8,cui,cui,kyi,c.u.i,k/y\i,_,qui,DMF,qui,PRNrel,PRNrel,smr,"Serments, 13r, col. b, l. 31",,
204,29,9,eo,eo,eu,e.o,/e\u,_,je,DMF,je,PRNper,PRNper,1smn,"Serments, 13r, col. b, l. 31",,
205,29,10,returnar,returnar,rEtornAr,r.e.t.u.r.n.a.r,r/E\.t/o\r.'n/A\r,|,retourner,DMF,retourner,VERinf,VERinf,,"Serments, 13r, col. b, l. 31",,
206,30,1,int,int,ENT,i.n.t,/E\NT,_,en2,DMF,en2,PRCadv,PRCadv,,"Serments, 13r, col. b, l. 32",,<lb n=&quot;32&quot;/>
207,30,2,pois,pois,pOiS,p.o.i.s,p/O\iS,.,pouvoir2,DMF,pouvoir2,VERcjg,VERcjg,indpst1,"Serments, 13r, col. b, l. 32",,
208,30,3,in,in,EN,i.n,/E\N,_,en,DMF,en,PRE,PRE,,"Serments, 13r, col. b, l. 32",,
209,30,4,nulla,nulla,nylə,n.u.ll.a,'n/y\.l/(ə)\,_,nul,DMF,nul,DETind,DETind,sfr,"Serments, 13r, col. b, l. 32",,
210,30,5,a_iudha,aiudha,Aiyðə,a.i.u.dh.a,/A\i.'/y\.ð/(ə)\,_,aide,DMF,aide,NOMcom,NOMcom,sfr,"Serments, 13r, col. b, l. 32",,
211,30,6,contra,contra,kONtrə,c.o.n.t.r.a,'k/O\N.tr/(ə)\,_,contre,DMF,contre,PRE,PRE,,"Serments, 13r, col. b, l. 32",,
212,30,7,lodhu|uuig,lodhuwig,LoðouiK,l.o.dh.u.w.i.g,L/o\.ð/o\.'u/i\K,_,Louis,---,,NOMpro,NOMpro,smr,"Serments, 13r, col. b, l. 32",,
213,31,1,nun,nun,nON,n.u.n,n/O\N,+,ne,DMF,ne,ADVneg,ADVneg,,"Serments, 13r, col. b, l. 33",,<lb n=&quot;33&quot;/>
214,31,2,li,li,Li,l.i,L/i\,_,li,DMF,li,PRCper,PRCper,3smi,"Serments, 13r, col. b, l. 33",,
215,31,3,iu,iu,iu,i.u,/i\u,+,y2,DMF,y2,PRCadv,PRCadv,,"Serments, 13r, col. b, l. 33",,
216,31,4,er,er,Er,e.r,/E\r,.,être,DMF,être,VERcjg,VERcjg,indfut1,"Serments, 13r, col. b, l. 33",</s></q></p>,
217,31,5,Teudisca,teudisca,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 33",,<p><s xml:lang=&quot;lat&quot;>
218,31,6,aut[em],autem,,,,_,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 33",,
219,31,7,lingua,lingua,,,,.|,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 33",</s></p>,
220,32,1,Oba,oba,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 1",,<pb n=&quot;13v&quot;/><cb n=&quot;a&quot;/><lb n=&quot;1&quot;/><p><q><s xml:lang=&quot;goh&quot;>
221,32,2,karl,karl,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 1",,
222,32,3,then,then,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 1",,
223,32,4,eid,eid,,,,.,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 1",,
224,32,5,then,then,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 1",,
225,32,6,er,er,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 1",,
226,32,7,sine_n.o[=sinemo],sinemo,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 1",,
227,32,8,bruodher,bruodher,,,,|,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 1",,
228,33,1,ludhuuuige,ludhuuuige,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 2",,<lb n=&quot;2&quot;/>
229,33,2,gesuor,gesuor,,,,.,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 2",,
230,33,3,geleistit,geleistit,,,,.,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 2",,
231,33,4,indi,indi,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 2",,
232,33,5,lud|huuuig,ludhuuuig,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 2",,
233,34,1,min,min,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 3",,<lb n=&quot;3&quot;/>
234,34,2,herro,herro,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 3",,
235,34,3,then,then,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 3",,
236,34,4,er,er,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 3",,
237,34,5,imo,imo,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 3",,
238,34,6,gesuor,gesuor,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 3",,
239,34,7,forbrih|chit,forbrihchit,,,,.,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 3",,
240,35,1,ob,ob,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 4",,<lb n=&quot;4&quot;/>
241,35,2,i_h,ih,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 4",,
242,35,3,ina_n,inan,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 4",,
243,35,4,es,es,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 4",,
244,35,5,iruuen_den,iruuenden,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 4",,
245,35,6,ne,ne,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 4",,
246,35,7,mag,mag,,,,.,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 4",,
247,35,8,noh,noh,,,,|,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 4",,
248,36,1,ih,ih,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 5",,<lb n=&quot;5&quot;/>
249,36,2,noh,noh,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 5",,
250,36,3,thero,thero,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 5",,
251,36,4,noh_hein,nohhein,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 5",,
252,36,5,then,then,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 5",,
253,36,6,ih,ih,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 5",,
254,36,7,es,es,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 5",,
255,36,8,iruuenden,iruuenden,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 5",,
256,36,9,mag,mag,,,,|,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 5",,
257,37,1,uuidar,uuidar,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 6",,<lb n=&quot;6&quot;/>
258,37,2,karle,karle,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 6",,
259,37,3,imo,imo,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 6",,
260,37,4,ce,ce,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 6",,
261,37,5,follus_ti,follusti,,,,+,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 6",,
262,37,6,ne,ne,,,,_,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 6",,
263,37,7,uuirdhit,uuirdhit,,,,.|,---,---,,ETR,ETR,,"Serments, 13v, col. a, l. 6",</s></q></p></body></text>,
