wd_id,line_id,linewd,dipl,word,phon,phon_map,syllabified,wd_div,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_left,tei_right
1,1,1,B_uona,buona,buɔnə,b.u.o.n.a,'b/uɔ\.n/(ə)\,_,bon,DMF,bon,ADJqua,ADJqua,sfn,"Eulalie, l. 1",<text><body><pb n=&quot;141v&quot;/><lb/><lg type=&quot;couplet&quot;><l n=&quot;1&quot;>,
2,1,2,pulcella,pulcella,pyLʦɛlə,p.u.l.c.e.ll.a,p/y\L.'ʦ/ɛ\.l/(ə)\,_,pucelle,DMF,pucelle,NOMcom,NOMcom,sfn,"Eulalie, l. 1",,
3,1,3,fut,fut,fyð,f.u.t,f/y\ð,_,être,DMF,être,VERcjg,VERcjg,indpsp3,"Eulalie, l. 1",,
4,1,4,Eulalia,eulalia,EulAliA,e.u.l.a.l.i.a,/E\u.l/A\.l/i\.'/A\,.,Eulalie,---,,NOMpro,NOMpro,sfn,"Eulalie, l. 1",,</l>
5,2,1,Bel,bel,bɛl,b.e.l,b/ɛ\l,_,beau,DMF,beau,ADJqua,ADJqua,smr,"Eulalie, l. 2",<l n=&quot;2&quot;>,
6,2,2,auret,auret,aurəð,a.u.r.e.t,'/a\u.r/ə\ð,_,avoir,DMF,avoir,VERcjg,VERcjg,indpqp3,"Eulalie, l. 2",,
7,2,3,corps,corps,kɔrPS,c.o.r.p.s,k/ɔ\rPS,_,corps,DMF,corps,NOMcom,NOMcom,smr,"Eulalie, l. 2",,
8,2,4,bellezour,bellezour,bElEʣour,b.e.ll.e.z.o.u.r,b/E\.l/E\.'ʣ/o\ur,_,beau,DMF,beau,ADJqua,ADJqua,sfr,"Eulalie, l. 2",,
9,2,5,anima,anima,AnimA,a.n.i.m.a,/A\.n/i\.'m/A\,|,âme,DMF,âme,NOMcom,NOMcom,sfr,"Eulalie, l. 2",,</l></lg>
10,3,1,U_oldrent,voldrent,vɔLdrəNT,v.o.l.d.r.e.n.t,'v/ɔ\L.dr/ə\NT,_,vouloir,DMF,vouloir,VERcjg,VERcjg,indpsp6,"Eulalie, l. 3",<lb/><lg type=&quot;couplet&quot;><l n=&quot;3&quot;>,
11,3,2,la,la,La,l.a,L/a\,+,le,DMF,le,PRCper,PRCper,3sfa,"Eulalie, l. 3",,
12,3,3,ueintre,veintre,vEiNtrə,v.e.i.n.t.r.e,'v/E\iN.tr/(ə)\,_,vaincre,DMF,vaincre,VERinf,VERinf,,"Eulalie, l. 3",,
13,3,4,li,li,Li,l.i,L/i\,_,li,DMF,li,DETdef,DETdef,pmn,"Eulalie, l. 3",,
14,3,5,d[e]o,deo,dæu,d.e.o,d/æ\u,_,Dieu,DMF,Dieu,NOMpro,NOMpro,smr,"Eulalie, l. 3",,
15,3,6,inimi,inimi,inimi,i.n.i.m.i,/i\.n/i\.'m/i\,.,enemi,DMF,enemi,NOMcom,NOMcom,pmn,"Eulalie, l. 3",,</l>
16,4,1,Uoldrent,voldrent,vɔLdrəNT,v.o.l.d.r.e.n.t,'v/ɔ\L.dr/ə\NT,_,vouloir,DMF,vouloir,VERcjg,VERcjg,indpsp6,"Eulalie, l. 4",<l n=&quot;4&quot;>,
17,4,2,la,la,La,l.a,L/a\,+,le,DMF,le,PRCper,PRCper,3sfa,"Eulalie, l. 4",,
18,4,3,faire,faire,fAirə,f.a.i.r.e,'f/A\i.r/(ə)\,_,faire,DMF,faire,VERinf,VERinf,,"Eulalie, l. 4",,
19,4,4,diaule,diaule,diaulə,d.i.a.u.l.e,d/i\.'/a\u.l/(ə)\,_,diable,DMF,diable,NOMcom,NOMcom,smr,"Eulalie, l. 4",,
20,4,5,seruir,servir,SErvir,s.e.r.v.i.r,S/E\r.'v/i\r,.|,servir,DMF,servir,VERinf,VERinf,,"Eulalie, l. 4",,</l></lg>
21,5,1,E_lle,elle,elə,e.ll.e,'/e\.l/(ə)\,_,elle,DMF,elle,PRNper,PRNper,3sfn,"Eulalie, l. 5",<lb/><lg type=&quot;couplet&quot;><l n=&quot;5&quot;>,
22,5,2,no,no,no,n.o,n/o\,+,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 5",,
23,5,3,nt,nt,NT,n.t,/\NT,_,en2,DMF,en2,PRCadv,PRCadv,,"Eulalie, l. 5",,
