wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,phon,map,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
320,52,9,52,"CantQuSol, l. 52",amiet,amiet,_,Amiə,a.m.i.et,fro,NOMcom,NOMcom,sfr,amie,DMF,amie,,</q></l>,
466,76,6,76,"CantQuSol, l. 76",amos,amos,|,AmOS,a.m.o.s,fro,NOMpro,NOMpro,smn,Amos,wiktionary,,,</q></l>,
221,36,3,36,"CantQuSol, l. 36",amor,amor,;,Amor,a.m.o.r,fro,NOMcom,NOMcom,sfr,amour,DMF,amour,,</q></l></lg>,
304,50,3,50,"CantQuSol, l. 50",amor,amor,_,Amor,a.m.o.r,fro,NOMcom,NOMcom,sfr,amour,DMF,amour,,,<lb/>
310,51,2,51,"CantQuSol, l. 51",amor,amor,_,Amor,a.m.o.r,fro,NOMcom,NOMcom,sfr,amour,DMF,amour,,,
397,64,8,64,"CantQuSol, l. 64",amor,amor,_,Amor,a.m.o.r,fro,NOMcom,NOMcom,sfr,amour,DMF,amour,,</q></l>,
510,85,7,85,"CantQuSol, l. 85",ananias,ananias,_,AnAniaS,a.n.a.n.i.a.s,fro,NOMpro,NOMpro,smn,Ananias,wikipedia.fr,,,</q></l>,
539,91,4,91,"CantQuSol, l. 91",angret,angret,_,ANgrə,a.n.g.r.et,fro,NOMcom,NOMcom,smr,ange,DMF,ange,,,
314,52,3,52,"CantQuSol, l. 52",anz,anz,|,ANS,a.n.z,fro,NOMcom,NOMcom,pmr,ans,DMF,ans,,,
148,25,4,25,"CantQuSol, l. 25",apeleid,apeleid,_,ApElEiT,a.p.e.l.e.i.d,fro,VERcjg,VERcjg,indipf3,appeler,DMF,appeler,,,
256,41,8,41,"CantQuSol, l. 41",apeleitz,apeleitz,_,ApElæZ,a.p.e.l.ei.tz,fro,VERppe,VERppe,smr,appeler,DMF,appeler,,</q></l>,
169,28,5,28,"CantQuSol, l. 28",aromatigement,aromatigement,|,ArOmAtiʤEmENT,a.r.o.m.a.t.i.g.e.m.e.n.t,fro,NOMcom,NOMcom,smr,aromatisement,TL,,,</q></l>,
253,41,5,41,"CantQuSol, l. 41",aseiz,aseiz,_,AsæÇ,a.s.ei.z,fro,ADVgen,ADVgen,,assez,DMF,assez,,,<lb/>
274,44,8,44,"CantQuSol, l. 44",aseiz,aseiz,_,AsæÇ,a.s.ei.z,fro,ADVgen,ADVgen,,assez,DMF,assez,,</q></l>,
523,88,5,88,"CantQuSol, l. 88",altres,altres,_,aLtrəS,a.l.t.r.e.s,fro,ADJind,ADJind,pmr,autre,DMF,autre,,,
518,87,3,87,"CantQuSol, l. 87",altresz,altresz,;|,aLtrəS,a.l.t.r.e.sz,fro,PRNind,PRNind,pmr,autre,DMF,autre,,</q></l></lg>,
545,92,3,92,"CantQuSol, l. 92",a,a,+,a,a,fro,VERcjg,VERcjg,indpst3,avoir,DMF,avoir,,,
322,53,2,53,"CantQuSol, l. 53",ad,ad,|,aZ,a.d,fro,VERcjg,VERcjg,indpst3,avoir,DMF,avoir,,,
375,61,5,61,"CantQuSol, l. 61",adz,adz,_,aZ,a.dz,fro,VERcjg,VERcjg,indpst3,avoir,DMF,avoir,,,
