wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
,,,,,furtu[m],furtum,_,lat,,,,---,,,,,
,,,,,fecerit,fecerit,_,lat,,,,---,,,,,
,,,,,aut,aut,_,lat,,,,---,,,,,
,,,,,consenserit,consenserit,_,lat,,,,---,,,,,
,,,,,tornet,tornet,_,lat,,,,---,,,,,
,,,,,libru[m],librum,_,lat,,,,---,,,,,
,,,,,istu[m],istum,.,lat,,,,---,,,,</s>,
,,,,,[et],et,_,lat,,,,---,,,,,<s xml:lang=&quot;lat&quot;>
,,,,,si,si,|,lat,,,,---,,,,,
,,,,,ille,ille,_,lat,,,,---,,,,,
,,,,,furtu[m],furtum,_,lat,,,,---,,,,,
,,,,,n[on],non,_,lat,,,,---,,,,,
,,,,,fecerit,fecerit,_,lat,,,,---,,,,,
,,,,,nec,nec,_,lat,,,,---,,,,,
,,,,,consenserit,consenserit,_,lat,,,,---,,,,,
,,,,,n[on],non,_,lat,,,,---,,,,,
,,,,,tornet,tornet,.,lat,,,,---,,,,</s></p>,
,,,,,D[omi]ne,domine,_,lat,,,,---,,,,,<p><s xml:lang=&quot;lat&quot;> 
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,abraha[m],abraham,.,lat,,,,---,,,,,
,,,,,d[omi]ne,domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,|,lat,,,,---,,,,,
,,,,,isáác,isaac,_,lat,,,,---,,,,,
,,,,,d[omi]ne,domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,iacob,jacob,.,lat,,,,---,,,,,
,,,,,d[omine],domine,+,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,micael,micael,.,lat,,,,---,,,,,
,,,,,d[omine],domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,gabriel,gabriel,.,lat,,,,---,,,,,
,,,,,d[omine],domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,raphael,raphael,.,lat,,,,---,,,,,
,,,,,d[omine],domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,ang[e]lor[um],angelorum,.,lat,,,,---,,,,,
,,,,,d[omi]ne,domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,|,lat,,,,---,,,,,
,,,,,arca[n]g[e]lor[um],arcangelorum,.,lat,,,,---,,,,,
,,,,,d[omine],domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,p[ro]ph[et]aru[m],prophetarum,.,lat,,,,---,,,,,
,,,,,d[omine],domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,ap[osto]lor[um],apostolorum,.,lat,,,,---,,,,,
,,,,,d[omine],domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,martiru[m],martirum,.,lat,,,,---,,,,,
,,,,,d[omine],domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,confessor[um],confessorum,.,lat,,,,---,,,,,
,,,,,d[omine],domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,virginu[m],virginum,.|,lat,,,,---,,,,,
,,,,,d[omine],domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,om[n]iu[m],omnium,_,lat,,,,---,,,,,
,,,,,s[an]c[t]or[um],sanctorum,.,lat,,,,---,,,,,
,,,,,d[omine],domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,q[u]i,qui,_,lat,,,,---,,,,,
,,,,,lib[er]asti,liberasti,_,lat,,,,---,,,,,
,,,,,tres,tres,_,lat,,,,---,,,,,
,,,,,pueros,pueros,_,lat,,,,---,,,,,
,,,,,de,de,+,lat,,,,---,,,,,
,,,,,camino,camino,_,lat,,,,---,,,,,
,,,,,ignis,ignis,_,lat,,,,---,,,,,
,,,,,ardentis,ardentis,_,lat,,,,---,,,,,
,,,,,sidrac,sidrac,.,lat,,,,---,,,,,
,,,,,misac,misac,.,lat,,,,---,,,,,
,,,,,[et],et,|,lat,,,,---,,,,,
,,,,,abdenago,abdenago,.,lat,,,,---,,,,,
,,,,,d[omine],domine,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,q[u]i,qui,_,lat,,,,---,,,,,
,,,,,lib[er]asti,liberasti,_,lat,,,,---,,,,,
,,,,,daniele[m],danielem,_,lat,,,,---,,,,,
,,,,,de,de,_,lat,,,,---,,,,,
,,,,,lacu,lacu,_,lat,,,,---,,,,,
,,,,,leonu[m],leonum,_,lat,,,,---,,,,,
,,,,,lib[er]a,libera,_,lat,,,,---,,,,,
,,,,,innocente[m],innocentem,.,lat,,,,---,,,,,
,,,,,[et],et,_,lat,,,,---,,,,,
,,,,,trade,trade,_,lat,,,,---,,,,,
,,,,,malefactore[m],malefactorem,|,lat,,,,---,,,,,
,,,,,in,in,_,lat,,,,---,,,,,
,,,,,culpa[m],culpam,.,lat,,,,---,,,,</s></p>,
,,,,,ps[almus],psalmus,.,lat,,,,---,,,,,<p><list type=&quot;litany&quot;><label><s xml:lang=&quot;lat&quot;>
,,,,,Miserere,miserere,_,lat,,,,---,,,,</s></label>,<item><s xml:lang=&quot;lat&quot;>
,,,,,mei,mei,_,lat,,,,---,,,,,
,,,,,d[eu]s,deus,_,lat,,,,---,,,,,
,,,,,totus,totus,.,lat,,,,---,,,,</s></item>,
,,,,,Gl[ori]a,gloria,_,lat,,,,---,,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,patri,patri,.,lat,,,,---,,,,</s></item>,
,,,,,Enquore,enquore,_,fro,,,,encore,,,,,
,,,,,enq[u]irere,enquirere,_,fro,,,,inquirier,,,,,
,,,,,Agn[us],agnus,_,lat,,,,,,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,d[e]i,dei,.,lat,,,,,,,,</s></item>,
,,,,,co',,.|,lat,,,,,,,collect? communion,</s></label>,<label><s xml:lang=&quot;lat&quot;>
,,,,,Rede[m]ptor,redemptor,_,lat,,,,,,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,mundi,mundi,.,lat,,,,,,,,</s></item>,
,,,,,p'co',,.,lat,,,,,,,,</s></label>,<label><s xml:lang=&quot;lat&quot;>
,,,,,Repleti,repleti,_,lat,,,,,,,,,<item><s xml:lang=&quot;lat&quot;>
,,,,,alimonia,alimonia,.,lat,,,,,,,,</s></item>,
,,,,,p',,_,lat,,,,,,,,,<label><s xml:lang=&quot;lat&quot;>
,,,,,p[ro]fitiat,profitiat,.,lat,,,,,,,,</s></label>,
,,,,,missa,missa,_,lat,,,,messe,,,,,
,,,,,de,de,_,fro,,,,de,,,,,
,,,,,nat[a]li,natali,_,lat,,,,natalis,wiktionary,,,,
,,,,,d[omi]ni,domini,_,lat,,,,dominus,wiktionary,,,,
,,,,,deit,deit,_,fro,,,,devoir2,,,,,
,,,,,odir,odir,|,fro,,,,ouïr,,,,,
,,,,,chi,chi,_,fro,,,,qui,,,,,
,,,,,ca[m]pist,campist,.,fro,,,,champir,,,,,
,,,,,d[eus],,_,lat,,,,,,,,,
,,,,,lux,,_,lat,,,,,,,,,
,,,,,fulgebit,,_,lat,,,,,,,,,
