wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
55,11,1,11,"Alba, l. 11",Ab,ab,+,lat,ETR,---,---,---,---,,,<lb/><lg type=&quot;stanza&quot;><l xml:lang=&quot;lat&quot; n=&quot;11&quot;>
56,11,2,11,"Alba, l. 11",arcturo,arcturo,_,lat,ETR,---,---,---,---,,,
57,11,3,11,"Alba, l. 11",disgregat[ur],disgregatur,_,lat,ETR,---,---,---,---,,,
58,11,4,11,"Alba, l. 11",aquilo,aquilo,;,lat,ETR,---,---,---,---,,</l>,
59,12,1,12,"Alba, l. 12",Poli,poli,+,lat,ETR,---,---,---,---,,,<l xml:lang=&quot;lat&quot; n=&quot;12&quot;>
60,12,2,12,"Alba, l. 12",suos,suos,_,lat,ETR,---,---,---,---,,,
61,12,3,12,"Alba, l. 12",condunt,condunt,_,lat,ETR,---,---,---,---,,,
62,12,4,12,"Alba, l. 12",astra,astra,_,lat,ETR,---,---,---,---,,,
63,12,5,12,"Alba, l. 12",radios,radios,|,lat,ETR,---,---,---,---,,</l>,
64,13,1,13,"Alba, l. 13",Orienti,orienti,_,lat,ETR,---,---,---,---,,,<lb/><l xml:lang=&quot;lat&quot; n=&quot;13&quot;>
65,13,2,13,"Alba, l. 13",tendit[ur],tenditur,_,lat,ETR,---,---,---,---,,,
66,13,3,13,"Alba, l. 13",septemtrio,septemtrio,;,lat,ETR,---,---,---,---,,</l>,
67,14,1,14,"Alba, l. 14",L,l,+,pro,DETdef,sfn,la,DOM,le,,,<l xml:lang=&quot;pro&quot; n=&quot;14&quot;>
68,14,2,14,"Alba, l. 14",alba,alba,_,pro,NOMcom,sfn,alba,DOM,aube,,,
69,14,3,14,"Alba, l. 14",part,part,_,pro,VERcjg,indpst3,partir,DOM,partir,,,
70,14,4,14,"Alba, l. 14",um[et],umet,_,pro,ADJqua,smr,umezit,DOM,humide,,,
71,14,5,14,"Alba, l. 14",mar,mar,_,pro,NOMcom,smr,mar,DOM,mer,,,
72,14,6,14,"Alba, l. 14",atra,atra,_,pro,VERcjg,indpst3,atraire,DOM,attraire,,,
73,14,7,14,"Alba, l. 14",sol,sol,;,pro,NOMcom,smr,sól,DOM,---,,</l>,
74,15,1,15,"Alba, l. 15",Po,po,+,pro,ADVgen,---,pòis,DOM,puis,,,<l xml:lang=&quot;pro&quot; n=&quot;15&quot;>
75,15,2,15,"Alba, l. 15",y,y,_,pro,PRCadv,---,i,DOM,y2,,,
76,15,3,15,"Alba, l. 15",pas_a,pasa,+,pro,VERcjg,indpst3,pasar,DOM,passer,,,
77,15,4,15,"Alba, l. 15",bigil,bigil,|,pro,NOMcom,smn,vigil,wiktionary,---,,<supplied reason=&quot;missing&quot;>mira clar tenebras</supplied></l></lg></body></text>,
