wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,map,wd_div,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
119,23,3,22,"AlexAlb, l. 22",sur,sur,Syr,s.u.r,|,fro,PRE,PRE,---,sur,DMF,sur,,,
411,74,3,73,"AlexAlb, l. 73",talent,talent,tAlENT,t.a.l.e.n.t,_,fro,NOMcom,NOMcom,smr,talent,DMF,talent,,,
212,39,8,38,"AlexAlb, l. 38",tenzon,tenzon,tENÇOn,t.e.n.z.o.n,;|,fro,NOMcom,NOMcom,sfr,tançon,DMF,tançon,,</l></lg>,
70,13,6,12,"AlexAlb, l. 12",tan,tan,tAn,t.a.n,_,fro,ADVgen,ADVgen,---,tant,DMF,tant,,,
78,15,1,14,"AlexAlb, l. 14",tant,tant,tANT,t.a.n.t,_,fro,DETind,DETind,smr,tant,DMF,tant,,,<l n=&quot;14&quot;>
85,16,2,15,"AlexAlb, l. 15",tanta,tanta,tANtə,t.a.n.t.a,_,fro,DETind,DETind,sfr,tant,DMF,tant,,,
89,17,2,16,"AlexAlb, l. 16",tan,tan,tAn,t.a.n,_,fro,DETind,DETind,smr,tant,DMF,tant,,,
294,55,2,54,"AlexAlb, l. 54",tal,tal,tAl,t.a.l,_,fro,ADJind,ADJind,sfr,tel,DMF,tel,,,
211,39,7,38,"AlexAlb, l. 38",tal,tal,tAl,t.a.l,_,fro,DETind,DETind,sfr,tel,DMF,tel,,,
325,60,1,59,"AlexAlb, l. 59",tal,tal,tAl,t.a.l,_,fro,DETind,DETind,smr,tel,DMF,tel,,,<l n=&quot;59&quot;>
269,50,4,49,"AlexAlb, l. 49",te[m]pestaz,tempestaz,tENpEStAÇ,t.e.m.p.e.s.t.a.z,.,fro,NOMcom,NOMcom,pfn,tempête,DMF,tempête,,</l>,
582,103,6,102,"AlexAlb, l. 102",temprar,temprar,tENprAr,t.e.m.p.r.a.r,.,fro,VERinf,VERinf,---,temprer,DMF,temprer,,</l>,
59,12,3,11,"AlexAlb, l. 11",temps,temps,tENPS,t.e.m.p.s,_,fro,NOMcom,NOMcom,smr,temps,DMF,temps,,,
