line_id,line_no,stwd,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,el1,el2,el3,el4,el5,el6,el7,el8,el9,el10,el11,el12,el13,el14,el15,el16,el17,el18,el19,el20,correct,count,length,ending,cespos,cestype,opt_rules
1,--,1,0,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,7,7,m,--,--,--
2,--,7,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,9,9,m,--,--,--
3,--,14,16,17,18,19,20,21,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,8,8,m,--,--,--
4,--,20,24,25,26,27,28,29,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,8,8,m,--,--,--
5,--,26,32,33,34,35,36,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,6,6,m,--,--,--
6,--,31,38,39,40,41,42,43,44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,8,8,m,--,--,--
