syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
57,5,,R/V\NQ,n,n,n,n,n,y,,y,n,n,26,26,--,13,1304-,,,,,subiugarunt,sy
58,5,,Q/V\,n,n,n,y,y,y,,n,n,n,27,27,--,14,1403-,,,,,demones,sy
59,5,,N/V\,n,n,n,n,n,y,,n,n,n,27,27,--,15,1502-,,,,,demones,sy
60,5,,N/V\Q,n,n,n,y,y,y,,y,n,n,27,27,--,16,1601r,,,,,demones,sy
61,6,,Q/V\Q,n,n,n,n,y,y,,n,y,n,28,28,--,1,0115-,,,,,hic,sy
62,6,,/V\QQ,n,n,n,n,y,n,,n,y,n,29,29,--,2,0214-,,,,,est,sy
63,6,,/V\,n,n,n,y,y,n,,n,n,n,30,30,--,3,0313-,,,,,adam,sy
64,6,,Q/V\N,n,n,n,n,n,y,,y,n,n,30,30,--,4,0412-,,,,,adam,sy
65,6,,QR/V\,n,n,n,n,y,y,,n,y,n,31,31,--,5,0511-,,,,,qui,sy
66,6,,Q/V\,n,n,n,n,n,y,,n,n,n,32,32,--,6,0610-,,,,,secundus,sy
67,6,,Q/V\N,n,n,n,y,y,y,,n,n,n,32,32,--,7,0709-,,,,,secundus,sy
68,6,,Q/V\Q,n,n,n,n,n,y,,y,n,n,32,32,--,8,0808c,,,,,secundus,sy
69,6,,Q/V\R,n,n,n,n,y,y,,n,y,n,33,33,--,9,0907-,,,,,per,sy
70,6,,QR/V\,n,n,n,n,n,y,,n,n,n,34,34,--,10,1006-,,,,,propheta,sy
71,6,,Q/V\,n,n,n,y,y,y,,n,n,n,34,34,--,11,1105-,,,,,propheta,sy
72,6,,Q/V\,n,n,n,n,n,y,,y,n,n,34,34,--,12,1204-,,,,,propheta,sy
73,6,,Q/V\,n,n,n,y,y,y,,n,n,n,35,35,--,13,1303-,,,,,dicitur,sy
74,6,,Q/V\,n,n,n,n,n,y,,n,n,n,35,35,--,14,1402-,,,,,dicitur,sy
75,6,,Q/V\R,n,n,n,y,y,y,,y,n,n,35,35,--,15,1501r,,,,,dicitur,sy
76,7,,Q/V\R,n,n,n,n,y,y,,n,y,n,36,36,--,1,0115-,,,,,per,sy
77,7,,QR/V\N,n,n,n,n,y,y,,n,y,n,37,37,--,2,0214-,,,,,quem,sy
